FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
-105.00,-57.00,-94.00,57.00,-17.00,19.69,50.75,0.11,0.10,-7.05,5.74,2023-11-28 19:56:29
-105.00,-57.00,-94.00,49.00,-8.00,19.25,50.44,0.14,0.06,-7.29,6.15,2023-11-28 19:56:29
-105.00,-57.00,-94.00,41.00,-7.00,18.81,50.19,0.15,0.01,-7.16,6.07,2023-11-28 19:56:29
-105.00,-57.00,-94.00,36.00,-40.00,18.31,50.13,0.25,0.05,-7.31,6.12,2023-11-28 19:56:29
-105.00,-57.00,-94.00,34.00,340.00,17.75,49.88,0.21,0.18,-7.09,6.35,2023-11-28 19:56:29
-105.00,-57.00,-94.00,34.00,-6.00,17.00,50.06,0.14,0.11,-7.28,6.19,2023-11-28 19:56:29
-105.00,-57.00,-94.00,36.00,-36.00,16.62,50.19,0.13,0.07,-7.05,6.02,2023-11-28 19:56:29
-105.00,-57.00,-94.00,50.00,335.00,16.44,49.81,0.04,0.06,-7.19,6.08,2023-11-28 19:56:29
-105.00,-57.00,-94.00,66.00,-3.00,16.12,49.38,0.12,0.08,-7.29,6.42,2023-11-28 19:56:29
-105.00,-57.00,-93.00,92.00,-49.00,16.12,49.31,-0.20,-0.01,-6.98,6.35,2023-11-28 19:56:29
-105.00,-57.00,-94.00,110.00,378.00,16.75,49.75,-0.26,-0.21,-7.33,6.25,2023-11-28 19:56:29
-105.00,-57.00,-94.00,113.00,8.00,17.87,50.56,-0.27,-0.26,-7.37,5.58,2023-11-28 19:56:30
-105.00,-57.00,-93.00,113.00,6.00,18.75,51.06,-0.14,-0.02,-7.19,5.85,2023-11-28 19:56:30
-105.00,-57.00,-93.00,109.00,12.00,18.75,51.06,-0.00,0.08,-6.78,5.90,2023-11-28 19:56:30
-105.00,-57.00,-93.00,109.00,-21.00,18.94,51.13,-0.38,0.08,-6.85,5.83,2023-11-28 19:56:30
-105.00,-57.00,-93.00,104.00,15.00,19.50,51.50,-0.29,0.08,-6.92,5.70,2023-11-28 19:56:30
-105.00,-57.00,-93.00,96.00,33.00,19.37,52.06,-0.00,0.20,-7.04,5.13,2023-11-28 19:56:30
-105.00,-57.00,-94.00,79.00,16.00,18.37,51.19,0.25,0.34,-7.20,6.06,2023-11-28 19:56:30
-105.00,-57.00,-95.00,52.00,-18.00,16.94,48.81,-0.11,0.26,-7.23,6.76,2023-11-28 19:56:30
-105.00,-57.00,-94.00,43.00,-5.00,16.44,47.25,0.15,0.07,-7.04,7.06,2023-11-28 19:56:30
-105.00,-57.00,-94.00,42.00,-55.00,16.12,47.13,0.02,-0.03,-6.73,6.32,2023-11-28 19:56:30
-105.00,-57.00,-94.00,48.00,335.00,16.56,47.19,-0.22,-0.16,-6.62,6.30,2023-11-28 19:56:30
-105.00,-57.00,-94.00,64.00,-3.00,17.50,47.44,-0.21,-0.24,-7.06,6.71,2023-11-28 19:56:30
-105.00,-57.00,-94.00,85.00,-44.00,18.44,48.06,-0.13,-0.21,-7.16,6.47,2023-11-28 19:56:30
-105.00,-57.00,-93.00,97.00,380.00,19.12,48.81,-0.15,-0.12,-6.79,6.11,2023-11-28 19:56:30
-105.00,-57.00,-93.00,103.00,7.00,19.56,50.13,0.06,-0.18,-7.09,6.43,2023-11-28 19:56:30
-105.00,-57.00,-93.00,106.00,-47.00,19.69,51.19,0.19,-0.06,-7.11,5.86,2023-11-28 19:56:30
-105.00,-56.00,-93.00,106.00,347.00,19.25,51.88,0.07,0.21,-7.57,5.58,2023-11-28 19:56:30
-105.00,-57.00,-93.00,99.00,14.00,18.69,52.19,0.01,0.12,-7.51,5.68,2023-11-28 19:56:30
-105.00,-57.00,-93.00,97.00,11.00,18.56,51.94,-0.17,0.12,-7.00,5.73,2023-11-28 19:56:31
-105.00,-57.00,-93.00,88.00,20.00,18.87,52.00,-0.32,0.09,-7.08,5.36,2023-11-28 19:56:31
-105.00,-57.00,-93.00,74.00,-53.00,18.44,50.88,0.04,0.31,-7.29,5.65,2023-11-28 19:56:31
-105.00,-57.00,-94.00,51.00,105.00,17.56,48.75,0.15,0.21,-7.14,6.42,2023-11-28 19:56:31
-105.00,-57.00,-94.00,43.00,-6.00,16.62,47.25,0.17,0.19,-7.28,7.18,2023-11-28 19:56:31
-105.00,-57.00,-94.00,42.00,-1.00,16.37,47.19,-0.09,0.07,-7.13,6.75,2023-11-28 19:56:31
-105.00,-57.00,-94.00,51.00,-12.00,16.62,47.81,0.03,-0.19,-6.68,6.42,2023-11-28 19:56:31
-105.00,-57.00,-94.00,59.00,47.00,17.19,49.00,0.07,-0.43,-7.30,6.09,2023-11-28 19:56:31
-105.00,-57.00,-94.00,71.00,-15.00,17.62,50.31,0.10,0.01,-7.28,6.23,2023-11-28 19:56:31
-105.00,-57.00,-94.00,86.00,370.00,17.62,51.44,-0.14,-0.04,-7.20,5.96,2023-11-28 19:56:31
-105.00,-57.00,-94.00,95.00,6.00,17.75,52.31,0.01,0.01,-7.47,6.02,2023-11-28 19:56:31
-105.00,-57.00,-94.00,105.00,-11.00,17.69,53.19,0.04,-0.13,-7.38,5.92,2023-11-28 19:56:31
-105.00,-57.00,-94.00,104.00,115.00,17.87,53.88,0.06,-0.05,-7.84,5.61,2023-11-28 19:56:31
-105.00,-57.00,-94.00,103.00,11.00,17.44,54.19,0.10,0.09,-7.12,5.33,2023-11-28 19:56:31
-105.00,-57.00,-94.00,100.00,-52.00,17.19,54.44,0.04,0.04,-7.38,5.50,2023-11-28 19:56:31
-105.00,-57.00,-94.00,96.00,358.00,17.06,54.44,-0.09,0.09,-7.62,5.57,2023-11-28 19:56:31
-105.00,-57.00,-94.00,88.00,3.00,17.00,54.00,0.18,0.26,-7.68,5.43,2023-11-28 19:56:31
-105.00,-57.00,-94.00,68.00,-49.00,15.81,52.50,0.29,0.13,-7.28,5.56,2023-11-28 19:56:31
-105.00,-57.00,-94.00,52.00,0.00,15.38,50.56,0.21,0.01,-7.09,6.47,2023-11-28 19:56:32
-105.00,-57.00,-94.00,48.00,-17.00,15.06,49.63,0.03,-0.03,-7.29,6.78,2023-11-28 19:56:32
-105.00,-57.00,-94.00,47.00,14.00,15.19,49.69,-0.00,-0.01,-7.14,6.21,2023-11-28 19:56:32
-105.00,-57.00,-94.00,61.00,0.00,15.38,50.06,-0.21,-0.09,-7.11,6.35,2023-11-28 19:56:32
-105.00,-57.00,-94.00,83.00,23.00,16.56,50.88,-0.32,-0.23,-7.49,6.20,2023-11-28 19:56:32
-105.00,-57.00,-94.00,94.00,-14.00,17.56,51.56,-0.26,-0.19,-7.24,5.92,2023-11-28 19:56:32
-105.00,-57.00,-94.00,103.00,155.00,18.31,52.38,0.03,-0.19,-7.50,5.87,2023-11-28 19:56:32
-105.00,-57.00,-94.00,104.00,22.00,18.62,52.63,0.01,0.01,-7.14,5.65,2023-11-28 19:56:32
-105.00,-57.00,-94.00,104.00,-7.00,18.37,52.44,0.18,0.07,-7.22,5.68,2023-11-28 19:56:32
-105.00,-57.00,-94.00,100.00,8.00,17.87,52.38,0.13,0.08,-7.37,5.98,2023-11-28 19:56:32
-105.00,-57.00,-94.00,96.00,-40.00,17.50,52.38,0.08,0.09,-7.44,5.75,2023-11-28 19:56:32
-105.00,-57.00,-94.00,89.00,358.00,17.19,52.44,0.02,0.13,-6.93,5.41,2023-11-28 19:56:32
-105.00,-57.00,-94.00,81.00,5.00,16.69,52.19,0.20,0.08,-7.14,5.56,2023-11-28 19:56:32
-105.00,-57.00,-94.00,61.00,-48.00,15.81,50.81,0.17,0.16,-7.04,6.41,2023-11-28 19:56:32
-105.00,-57.00,-94.00,50.00,12.00,15.63,49.94,0.05,-0.07,-7.25,6.73,2023-11-28 19:56:32
-105.00,-57.00,-94.00,48.00,-6.00,16.00,49.69,-0.13,-0.01,-7.25,6.22,2023-11-28 19:56:32
-105.00,-57.00,-94.00,46.00,-56.00,16.12,49.75,-0.04,0.03,-7.06,6.00,2023-11-28 19:56:32
-105.00,-57.00,-94.00,57.00,328.00,16.37,49.75,-0.07,-0.15,-7.18,6.20,2023-11-28 19:56:32
-105.00,-57.00,-93.00,75.00,7.00,17.19,50.13,-0.21,-0.24,-7.37,6.42,2023-11-28 19:56:33
