FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-105.0,-57.0,-94.0,57.0,-17.0,19.69,50.75,0.11,0.1,-7.05,5.74,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,49.0,-8.0,19.25,50.44,0.14,0.06,-7.29,6.15,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,41.0,-7.0,18.81,50.19,0.15,0.01,-7.16,6.07,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,36.0,-40.0,18.31,50.13,0.25,0.05,-7.31,6.12,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,34.0,340.0,17.75,49.88,0.21,0.18,-7.09,6.35,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,34.0,-6.0,17.0,50.06,0.14,0.11,-7.28,6.19,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,36.0,-36.0,16.62,50.19,0.13,0.07,-7.05,6.02,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,50.0,335.0,16.44,49.81,0.04,0.06,-7.19,6.08,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,66.0,-3.0,16.12,49.38,0.12,0.08,-7.29,6.42,2023-11-28 19:56:29,1,2
-105.0,-57.0,-93.0,92.0,-49.0,16.12,49.31,-0.2,-0.01,-6.98,6.35,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,110.0,378.0,16.75,49.75,-0.26,-0.21,-7.33,6.25,2023-11-28 19:56:29,1,2
-105.0,-57.0,-94.0,113.0,8.0,17.87,50.56,-0.27,-0.26,-7.37,5.58,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,113.0,6.0,18.75,51.06,-0.14,-0.02,-7.19,5.85,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,109.0,12.0,18.75,51.06,-0.0,0.08,-6.78,5.9,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,109.0,-21.0,18.94,51.13,-0.38,0.08,-6.85,5.83,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,104.0,15.0,19.5,51.5,-0.29,0.08,-6.92,5.7,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,96.0,33.0,19.37,52.06,-0.0,0.2,-7.04,5.13,2023-11-28 19:56:30,1,2
-105.0,-57.0,-94.0,79.0,16.0,18.37,51.19,0.25,0.34,-7.2,6.06,2023-11-28 19:56:30,1,2
-105.0,-57.0,-95.0,52.0,-18.0,16.94,48.81,-0.11,0.26,-7.23,6.76,2023-11-28 19:56:30,1,2
-105.0,-57.0,-94.0,43.0,-5.0,16.44,47.25,0.15,0.07,-7.04,7.06,2023-11-28 19:56:30,1,2
-105.0,-57.0,-94.0,42.0,-55.0,16.12,47.13,0.02,-0.03,-6.73,6.32,2023-11-28 19:56:30,1,2
-105.0,-57.0,-94.0,48.0,335.0,16.56,47.19,-0.22,-0.16,-6.62,6.3,2023-11-28 19:56:30,1,2
-105.0,-57.0,-94.0,64.0,-3.0,17.5,47.44,-0.21,-0.24,-7.06,6.71,2023-11-28 19:56:30,1,2
-105.0,-57.0,-94.0,85.0,-44.0,18.44,48.06,-0.13,-0.21,-7.16,6.47,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,97.0,380.0,19.12,48.81,-0.15,-0.12,-6.79,6.11,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,103.0,7.0,19.56,50.13,0.06,-0.18,-7.09,6.43,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,106.0,-47.0,19.69,51.19,0.19,-0.06,-7.11,5.86,2023-11-28 19:56:30,1,2
-105.0,-56.0,-93.0,106.0,347.0,19.25,51.88,0.07,0.21,-7.57,5.58,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,99.0,14.0,18.69,52.19,0.01,0.12,-7.51,5.68,2023-11-28 19:56:30,1,2
-105.0,-57.0,-93.0,97.0,11.0,18.56,51.94,-0.17,0.12,-7.0,5.73,2023-11-28 19:56:31,1,2
-105.0,-57.0,-93.0,88.0,20.0,18.87,52.0,-0.32,0.09,-7.08,5.36,2023-11-28 19:56:31,1,2
-105.0,-57.0,-93.0,74.0,-53.0,18.44,50.88,0.04,0.31,-7.29,5.65,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,51.0,105.0,17.56,48.75,0.15,0.21,-7.14,6.42,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,43.0,-6.0,16.62,47.25,0.17,0.19,-7.28,7.18,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,42.0,-1.0,16.37,47.19,-0.09,0.07,-7.13,6.75,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,51.0,-12.0,16.62,47.81,0.03,-0.19,-6.68,6.42,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,59.0,47.0,17.19,49.0,0.07,-0.43,-7.3,6.09,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,71.0,-15.0,17.62,50.31,0.1,0.01,-7.28,6.23,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,86.0,370.0,17.62,51.44,-0.14,-0.04,-7.2,5.96,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,95.0,6.0,17.75,52.31,0.01,0.01,-7.47,6.02,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,105.0,-11.0,17.69,53.19,0.04,-0.13,-7.38,5.92,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,104.0,115.0,17.87,53.88,0.06,-0.05,-7.84,5.61,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,103.0,11.0,17.44,54.19,0.1,0.09,-7.12,5.33,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,100.0,-52.0,17.19,54.44,0.04,0.04,-7.38,5.5,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,96.0,358.0,17.06,54.44,-0.09,0.09,-7.62,5.57,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,88.0,3.0,17.0,54.0,0.18,0.26,-7.68,5.43,2023-11-28 19:56:31,1,2
-105.0,-57.0,-94.0,68.0,-49.0,15.81,52.5,0.29,0.13,-7.28,5.56,2023-11-28 19:56:31,1,2
