FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-106,-57,-96,23,66,2.81,10.5,0.01,0.01,-1.62,9.65,2023/11/28 18:11,1,0
-106,-58,-96,25,13,2.81,10.56,0,0.01,-1.72,9.63,2023/11/28 18:11,1,0
-106,-57,-96,20,-54,2.81,10.69,0.01,0.01,-1.68,9.66,2023/11/28 18:11,1,0
-106,-57,-96,24,166,2.81,10.81,0.01,-0.02,-1.64,9.75,2023/11/28 18:11,1,0
-106,-57,-96,24,17,2.81,11.06,0.05,-0.03,-1.88,9.54,2023/11/28 18:11,1,0
-106,-58,-96,24,-52,2.5,11.75,0.16,-0.02,-1.88,9.71,2023/11/28 18:11,1,0
-106,-58,-96,23,37,1.75,13.56,0.27,0.04,-1.96,9.76,2023/11/28 18:11,1,0
-106,-58,-96,31,-67,1.06,16.19,0.13,0.12,-2.69,9.51,2023/11/28 18:11,1,0
-106,-57,-96,38,358,0.69,19.25,0.09,0.04,-3.03,9.18,2023/11/28 18:11,1,0
-106,-58,-96,41,16,0.25,21.81,0.15,0.03,-3.52,9.32,2023/11/28 18:11,1,0
-106,-58,-96,50,-69,-0.13,23.62,0.16,-0.01,-3.86,8.96,2023/11/28 18:11,1,0
-106,-57,-96,59,279,-0.38,25.37,0.1,-0.11,-4.11,8.97,2023/11/28 18:11,1,0
-106,-57,-96,61,70,-0.63,26.19,0.09,-0.13,-4.65,8.79,2023/11/28 18:11,1,0
-106,-58,-96,65,-61,-0.81,26.44,0.21,-0.15,-4.43,8.27,2023/11/28 18:11,1,0
-106,-57,-96,65,172,-1.12,26,0.07,-0.12,-4.4,9.13,2023/11/28 18:11,1,0
-106,-57,-96,68,25,-0.94,25.81,-0.09,-0.02,-3.94,9.07,2023/11/28 18:11,1,0
-106,-57,-96,78,58,-0.75,26.19,-0.1,-0.01,-4.29,8.86,2023/11/28 18:11,1,0
-106,-58,-96,79,84,-0.63,26.5,-0.11,0.04,-4.28,8.84,2023/11/28 18:11,1,0
-106,-57,-95,78,28,-0.5,26.56,-0.05,0,-4.29,8.99,2023/11/28 18:11,1,0
-106,-57,-96,86,-44,-0.38,26.5,-0.06,-0.03,-4.41,9.06,2023/11/28 18:11,1,0
