FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
-106.00,-57.00,-96.00,23.00,66.00,2.81,10.50,0.01,0.01,-1.62,9.65,2023-11-28 18:11:25
-106.00,-58.00,-96.00,25.00,13.00,2.81,10.56,0.00,0.01,-1.72,9.63,2023-11-28 18:11:25
-106.00,-57.00,-96.00,20.00,-54.00,2.81,10.69,0.01,0.01,-1.68,9.66,2023-11-28 18:11:25
-106.00,-57.00,-96.00,24.00,166.00,2.81,10.81,0.01,-0.02,-1.64,9.75,2023-11-28 18:11:25
-106.00,-57.00,-96.00,24.00,17.00,2.81,11.06,0.05,-0.03,-1.88,9.54,2023-11-28 18:11:25
-106.00,-58.00,-96.00,24.00,-52.00,2.50,11.75,0.16,-0.02,-1.88,9.71,2023-11-28 18:11:25
-106.00,-58.00,-96.00,23.00,37.00,1.75,13.56,0.27,0.04,-1.96,9.76,2023-11-28 18:11:25
-106.00,-58.00,-96.00,31.00,-67.00,1.06,16.19,0.13,0.12,-2.69,9.51,2023-11-28 18:11:25
-106.00,-57.00,-96.00,38.00,358.00,0.69,19.25,0.09,0.04,-3.03,9.18,2023-11-28 18:11:25
-106.00,-58.00,-96.00,41.00,16.00,0.25,21.81,0.15,0.03,-3.52,9.32,2023-11-28 18:11:25
-106.00,-58.00,-96.00,50.00,-69.00,-0.13,23.62,0.16,-0.01,-3.86,8.96,2023-11-28 18:11:25
-106.00,-57.00,-96.00,59.00,279.00,-0.38,25.37,0.10,-0.11,-4.11,8.97,2023-11-28 18:11:25
-106.00,-57.00,-96.00,61.00,70.00,-0.63,26.19,0.09,-0.13,-4.65,8.79,2023-11-28 18:11:26
-106.00,-58.00,-96.00,65.00,-61.00,-0.81,26.44,0.21,-0.15,-4.43,8.27,2023-11-28 18:11:26
-106.00,-57.00,-96.00,65.00,172.00,-1.12,26.00,0.07,-0.12,-4.40,9.13,2023-11-28 18:11:26
-106.00,-57.00,-96.00,68.00,25.00,-0.94,25.81,-0.09,-0.02,-3.94,9.07,2023-11-28 18:11:26
-106.00,-57.00,-96.00,78.00,58.00,-0.75,26.19,-0.10,-0.01,-4.29,8.86,2023-11-28 18:11:26
-106.00,-58.00,-96.00,79.00,84.00,-0.63,26.50,-0.11,0.04,-4.28,8.84,2023-11-28 18:11:26
-106.00,-57.00,-95.00,78.00,28.00,-0.50,26.56,-0.05,0.00,-4.29,8.99,2023-11-28 18:11:26
-106.00,-57.00,-96.00,86.00,-44.00,-0.38,26.50,-0.06,-0.03,-4.41,9.06,2023-11-28 18:11:26
-106.00,-58.00,-95.00,92.00,235.00,-0.19,26.62,-0.01,0.01,-4.27,8.72,2023-11-28 18:11:26
-106.00,-57.00,-95.00,94.00,32.00,-0.13,26.50,-0.05,-0.02,-4.39,9.01,2023-11-28 18:11:26
-106.00,-57.00,-95.00,92.00,-19.00,0.00,26.44,-0.01,-0.02,-4.26,8.89,2023-11-28 18:11:26
-106.00,-57.00,-96.00,98.00,64.00,0.13,26.37,0.00,0.05,-4.22,9.02,2023-11-28 18:11:26
-106.00,-58.00,-96.00,96.00,-62.00,0.25,26.31,-0.03,-0.00,-4.29,8.85,2023-11-28 18:11:26
-106.00,-57.00,-96.00,98.00,196.00,0.44,26.19,-0.07,-0.01,-4.25,8.90,2023-11-28 18:11:26
-106.00,-57.00,-96.00,96.00,35.00,0.56,26.06,-0.04,-0.01,-4.38,9.07,2023-11-28 18:11:26
-106.00,-58.00,-96.00,100.00,-70.00,0.81,26.06,-0.11,0.02,-4.31,9.01,2023-11-28 18:11:26
-106.00,-57.00,-95.00,102.00,343.00,1.00,26.00,-0.06,0.02,-4.15,8.87,2023-11-28 18:11:26
-106.00,-57.00,-96.00,103.00,99.00,1.12,26.06,-0.06,0.02,-4.38,8.93,2023-11-28 18:11:26
-106.00,-57.00,-96.00,101.00,-50.00,1.19,26.00,-0.01,0.00,-4.30,8.86,2023-11-28 18:11:27
-106.00,-57.00,-95.00,103.00,366.00,1.25,26.00,-0.01,0.03,-4.23,9.07,2023-11-28 18:11:27
-106.00,-58.00,-96.00,101.00,62.00,1.19,26.37,0.07,0.11,-3.86,8.95,2023-11-28 18:11:27
-106.00,-58.00,-96.00,81.00,-68.00,0.69,27.44,0.09,-0.06,-3.17,7.52,2023-11-28 18:11:27
-106.00,-58.00,-95.00,79.00,97.00,1.37,27.69,-0.20,-0.05,-4.69,9.14,2023-11-28 18:11:27
-106.00,-58.00,-96.00,77.00,33.00,1.37,27.69,0.05,-0.10,-4.38,9.12,2023-11-28 18:11:27
-106.00,-58.00,-96.00,63.00,-54.00,1.56,28.12,-0.15,-0.02,-4.60,8.74,2023-11-28 18:11:27
-106.00,-57.00,-95.00,55.00,236.00,1.94,27.75,-0.16,-0.03,-4.52,8.57,2023-11-28 18:11:27
-106.00,-57.00,-96.00,40.00,17.00,2.62,25.44,-0.30,0.04,-4.37,8.52,2023-11-28 18:11:27
-106.00,-57.00,-96.00,35.00,-63.00,3.06,22.12,-0.18,0.06,-3.43,9.55,2023-11-28 18:11:27
-106.00,-57.00,-96.00,27.00,212.00,3.56,18.69,-0.21,0.08,-2.87,9.45,2023-11-28 18:11:27
-106.00,-58.00,-96.00,16.00,-52.00,4.12,15.19,-0.17,0.16,-2.06,9.49,2023-11-28 18:11:27
-106.00,-57.00,-96.00,13.00,6.00,4.00,13.19,0.06,0.21,-2.15,9.59,2023-11-28 18:11:27
-106.00,-58.00,-96.00,11.00,7.00,3.81,11.94,0.03,0.07,-1.86,9.32,2023-11-28 18:11:27
-106.00,-58.00,-96.00,11.00,-70.00,3.75,11.25,-0.05,-0.03,-1.70,10.05,2023-11-28 18:11:27
-106.00,-57.00,-96.00,11.00,34.00,3.75,11.50,0.04,-0.02,-1.92,9.64,2023-11-28 18:11:27
-106.00,-58.00,-96.00,13.00,32.00,3.62,11.88,0.01,0.00,-1.90,9.57,2023-11-28 18:11:27
-106.00,-58.00,-96.00,10.00,-62.00,3.56,12.19,0.08,0.01,-1.95,9.73,2023-11-28 18:11:27
-106.00,-58.00,-96.00,14.00,335.00,2.94,13.31,0.24,0.05,-1.86,9.28,2023-11-28 18:11:28
-106.00,-57.00,-96.00,26.00,31.00,2.75,15.00,0.05,-0.01,-2.47,9.95,2023-11-28 18:11:28
-106.00,-58.00,-96.00,42.00,-60.00,2.31,17.87,0.25,-0.05,-2.57,8.93,2023-11-28 18:11:28
-106.00,-58.00,-96.00,58.00,124.00,1.62,20.56,0.09,0.09,-3.40,9.62,2023-11-28 18:11:28
-106.00,-57.00,-96.00,70.00,28.00,1.12,23.25,0.21,-0.04,-3.97,8.93,2023-11-28 18:11:28
-106.00,-57.00,-96.00,74.00,-58.00,0.56,25.50,0.21,-0.12,-4.35,8.77,2023-11-28 18:11:28
-106.00,-57.00,-95.00,83.00,364.00,0.50,26.69,0.07,-0.20,-4.11,8.82,2023-11-28 18:11:28
-106.00,-58.00,-96.00,88.00,57.00,0.44,27.81,0.07,-0.07,-4.68,8.80,2023-11-28 18:11:28
-106.00,-58.00,-96.00,86.00,-69.00,0.25,28.87,0.13,-0.09,-4.55,8.59,2023-11-28 18:11:28
-106.00,-57.00,-96.00,88.00,194.00,0.00,29.19,0.09,-0.04,-4.55,8.54,2023-11-28 18:11:28
-106.00,-58.00,-96.00,101.00,52.00,-0.06,29.06,-0.00,-0.04,-4.87,8.96,2023-11-28 18:11:28
-106.00,-58.00,-96.00,94.00,-42.00,0.13,28.87,-0.03,-0.04,-4.64,8.50,2023-11-28 18:11:28
-106.00,-57.00,-96.00,95.00,77.00,0.13,28.31,0.03,-0.06,-5.01,9.14,2023-11-28 18:11:28
-106.00,-58.00,-96.00,96.00,-59.00,0.25,27.94,-0.07,0.04,-4.53,9.13,2023-11-28 18:11:28
-106.00,-57.00,-96.00,95.00,-15.00,0.19,28.06,0.05,0.04,-4.07,8.86,2023-11-28 18:11:28
