FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-63.0,2.0,8.0,3.0,-77.0,1.12,6.19,-0.02,-0.03,-0.91,9.83,2023-11-28 18:17:16,3,0
-51.0,2.0,8.0,4.0,28.0,1.19,6.75,0.01,-0.02,-1.3,9.47,2023-11-28 18:17:16,3,0
12.0,4.0,8.0,4.0,-2.0,1.12,7.12,0.04,0.02,-1.29,9.45,2023-11-28 18:17:16,3,0
-60.0,2.0,7.0,3.0,-77.0,0.88,7.12,0.06,0.11,-1.23,9.71,2023-11-28 18:17:16,3,0
-45.0,3.0,8.0,4.0,321.0,0.88,6.5,-0.08,0.3,-1.04,9.67,2023-11-28 18:17:16,3,0
69.0,4.0,7.0,3.0,27.0,1.19,5.75,-0.18,0.39,-0.96,9.55,2023-11-28 18:17:16,3,0
30.0,5.0,8.0,4.0,-11.0,1.44,4.62,0.0,0.28,-0.75,9.71,2023-11-28 18:17:16,3,0
-82.0,2.0,7.0,5.0,-57.0,1.25,4.44,-0.01,0.2,-0.73,9.7,2023-11-28 18:17:16,3,0
283.0,4.0,8.0,5.0,42.0,1.06,4.69,0.13,0.09,-0.68,9.77,2023-11-28 18:17:16,3,0
-51.0,2.0,8.0,4.0,-77.0,0.56,5.5,0.14,0.07,-0.93,9.7,2023-11-28 18:17:16,3,0
-45.0,2.0,8.0,4.0,-28.0,0.0,6.44,0.25,0.03,-0.84,9.85,2023-11-28 18:17:16,3,0
-9.0,4.0,8.0,8.0,-24.0,-0.75,8.56,0.2,0.05,-1.42,9.67,2023-11-28 18:17:16,3,0
-56.0,5.0,10.0,9.0,-77.0,-1.5,10.25,0.36,0.01,-1.53,9.75,2023-11-28 18:17:16,3,0
13.0,7.0,13.0,15.0,397.0,-2.37,12.38,0.24,0.04,-2.02,9.76,2023-11-28 18:17:16,3,0
66.0,9.0,19.0,23.0,58.0,-3.06,14.31,0.18,0.09,-2.54,9.49,2023-11-28 18:17:17,3,0
-18.0,14.0,27.0,38.0,-75.0,-3.69,16.69,0.26,0.06,-2.63,9.51,2023-11-28 18:17:17,3,0
-25.0,29.0,37.0,54.0,452.0,-4.62,18.81,0.16,0.18,-2.95,8.92,2023-11-28 18:17:17,3,0
42.0,49.0,48.0,67.0,83.0,-5.31,21.12,0.29,0.02,-3.55,9.08,2023-11-28 18:17:17,3,0
-12.0,72.0,58.0,72.0,-67.0,-6.5,23.37,0.36,0.11,-3.9,8.75,2023-11-28 18:17:17,3,0
-1.0,82.0,65.0,82.0,99.0,-7.31,24.94,0.22,0.09,-4.23,8.63,2023-11-28 18:17:17,3,0
-16.0,108.0,72.0,84.0,-23.0,-8.19,26.12,0.24,0.04,-4.25,8.85,2023-11-28 18:17:17,3,0
-28.0,120.0,75.0,87.0,-49.0,-8.75,27.12,0.14,0.05,-4.43,8.67,2023-11-28 18:17:17,3,0
-25.0,121.0,78.0,85.0,223.0,-9.5,27.94,0.39,-0.02,-4.31,8.92,2023-11-28 18:17:17,3,0
-16.0,124.0,75.0,85.0,-2.0,-10.0,28.69,0.15,-0.17,-4.7,8.63,2023-11-28 18:17:17,3,0
-47.0,141.0,77.0,89.0,-66.0,-10.56,29.19,0.36,-0.16,-4.6,8.91,2023-11-28 18:17:17,3,0
-14.0,127.0,75.0,91.0,161.0,-10.81,29.56,0.23,-0.28,-4.43,8.04,2023-11-28 18:17:17,3,0
-13.0,124.0,71.0,93.0,25.0,-10.38,30.0,-0.57,-0.45,-4.83,9.05,2023-11-28 18:17:17,3,0
-9.0,127.0,72.0,91.0,423.0,-5.31,30.31,-1.69,-0.71,-5.21,8.59,2023-11-28 18:17:17,3,0
-3.0,127.0,68.0,89.0,16.0,1.19,29.87,-1.83,-0.93,-5.49,8.23,2023-11-28 18:17:17,3,0
-30.0,120.0,66.0,84.0,-76.0,7.25,28.19,-2.01,-1.08,-4.36,9.46,2023-11-28 18:17:17,3,0
-3.0,146.0,66.0,88.0,336.0,14.94,27.5,-2.79,-1.29,-4.55,8.45,2023-11-28 18:17:17,3,0
-1.0,146.0,65.0,88.0,28.0,24.56,26.81,-2.51,-1.22,-3.88,7.63,2023-11-28 18:17:17,3,0
-4.0,130.0,60.0,78.0,-14.0,32.88,26.69,-3.06,-0.88,-1.86,5.78,2023-11-28 18:17:18,3,0
-7.0,163.0,61.0,73.0,-13.0,43.25,28.0,-3.3,-1.12,-2.39,5.05,2023-11-28 18:17:18,3,0
-1.0,167.0,59.0,73.0,9.0,54.13,29.25,-2.8,-1.43,-2.12,3.63,2023-11-28 18:17:18,3,0
-38.0,201.0,60.0,74.0,-62.0,62.06,28.87,-2.31,-1.36,-1.71,3.2,2023-11-28 18:17:18,3,0
21.0,195.0,62.0,74.0,290.0,70.19,29.0,-1.75,-0.99,-1.43,2.56,2023-11-28 18:17:18,3,0
9.0,197.0,63.0,80.0,13.0,76.25,30.44,-2.05,-0.64,-0.78,2.1,2023-11-28 18:17:18,3,0
6.0,277.0,60.0,74.0,-21.0,82.5,36.56,-2.19,-1.09,-0.14,0.4,2023-11-28 18:17:18,3,0
18.0,173.0,61.0,74.0,56.0,88.0,-179.69,-2.24,-1.64,0.75,0.05,2023-11-28 18:17:18,3,0
7.0,192.0,61.0,80.0,17.0,81.12,-143.75,-1.73,-1.81,2.19,-0.27,2023-11-28 18:17:18,3,0
-12.0,199.0,58.0,78.0,-59.0,74.94,-137.87,-0.82,-1.17,1.58,-2.21,2023-11-28 18:17:18,3,0
30.0,174.0,59.0,80.0,294.0,72.44,-136.0,-0.23,-0.7,2.44,-2.22,2023-11-28 18:17:18,3,0
12.0,177.0,58.0,78.0,6.0,70.5,-133.69,-0.14,-0.62,2.47,-2.6,2023-11-28 18:17:18,3,0
0.0,175.0,57.0,78.0,-25.0,67.75,-131.87,-0.5,-0.86,3.14,-2.96,2023-11-28 18:17:18,3,0
51.0,204.0,58.0,74.0,51.0,65.0,-131.81,-0.62,-0.84,3.72,-2.05,2023-11-28 18:17:18,3,0
-15.0,177.0,56.0,76.0,-73.0,61.56,-132.81,-0.63,-0.66,3.83,-2.35,2023-11-28 18:17:18,3,0
8.0,175.0,56.0,75.0,342.0,59.31,-132.31,-0.47,-0.58,3.35,-3.7,2023-11-28 18:17:18,3,0
12.0,175.0,55.0,76.0,59.0,58.0,-132.12,-0.13,-0.01,3.77,-3.79,2023-11-28 18:17:18,3,0
11.0,180.0,56.0,71.0,-52.0,58.69,-132.19,0.2,0.38,4.14,-3.43,2023-11-28 18:17:18,3,0
-8.0,172.0,57.0,71.0,-32.0,61.25,-131.5,0.66,0.83,4.09,-2.93,2023-11-28 18:17:19,3,0
-6.0,172.0,62.0,75.0,89.0,65.31,-130.25,1.12,1.37,2.73,-1.74,2023-11-28 18:17:19,3,0
-9.0,121.0,56.0,70.0,-57.0,72.44,-131.19,1.47,1.92,2.59,-1.58,2023-11-28 18:17:19,3,0
6.0,115.0,55.0,67.0,300.0,81.31,-130.56,1.85,2.03,1.73,0.24,2023-11-28 18:17:19,3,0
