FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
-101.00,10.00,29.00,39.00,-12.00,5.94,22.94,-0.34,-0.39,-3.63,9.28,2023-11-28 19:45:40
199.00,10.00,31.00,42.00,11.00,7.31,22.75,-0.40,-0.21,-3.73,8.90,2023-11-28 19:45:40
-36.00,13.00,35.00,45.00,-25.00,8.25,22.25,-0.22,-0.14,-3.80,8.89,2023-11-28 19:45:40
-101.00,16.00,37.00,47.00,-3.00,8.81,21.31,-0.04,-0.06,-2.98,8.32,2023-11-28 19:45:40
47.00,17.00,36.00,46.00,6.00,8.06,20.87,0.15,0.17,-3.36,8.55,2023-11-28 19:45:40
-45.00,14.00,35.00,45.00,4.00,7.81,19.94,-0.01,0.11,-3.12,9.22,2023-11-28 19:45:40
-101.00,9.00,33.00,41.00,-28.00,8.25,19.31,-0.19,0.09,-3.20,9.82,2023-11-28 19:45:40
-20.00,13.00,35.00,42.00,254.00,8.69,19.37,-0.13,-0.01,-3.24,9.58,2023-11-28 19:45:40
-33.00,44.00,47.00,54.00,-5.00,10.13,20.25,-0.66,-0.33,-3.38,9.07,2023-11-28 19:45:40
-95.00,77.00,61.00,66.00,169.00,13.63,21.37,-1.00,-0.98,-3.13,8.64,2023-11-28 19:45:40
-70.00,96.00,65.00,68.00,5.00,18.75,22.75,-1.48,-1.37,-3.55,8.55,2023-11-28 19:45:40
-99.00,103.00,71.00,70.00,-28.00,23.75,25.06,-1.40,-1.13,-3.73,7.75,2023-11-28 19:45:40
-98.00,103.00,69.00,71.00,82.00,29.37,26.69,-1.51,-0.86,-3.69,6.48,2023-11-28 19:45:40
-93.00,101.00,67.00,72.00,6.00,33.50,27.69,-0.66,-0.55,-3.78,7.26,2023-11-28 19:45:40
-97.00,102.00,68.00,71.00,-23.00,34.63,27.87,-0.23,-0.37,-3.31,6.77,2023-11-28 19:45:40
-101.00,103.00,67.00,72.00,17.00,34.88,28.44,0.18,-0.19,-3.74,6.86,2023-11-28 19:45:40
-93.00,97.00,64.00,68.00,4.00,34.63,28.56,0.08,0.17,-3.34,6.99,2023-11-28 19:45:41
-98.00,96.00,62.00,66.00,-27.00,34.06,29.69,0.15,0.51,-3.40,6.95,2023-11-28 19:45:41
-95.00,84.00,59.00,62.00,126.00,30.44,33.06,1.20,1.67,-4.15,6.97,2023-11-28 19:45:41
-29.00,44.00,51.00,62.00,5.00,23.75,35.19,1.95,2.80,-4.14,6.33,2023-11-28 19:45:41
-99.00,14.00,40.00,58.00,-2.00,8.19,34.69,3.68,3.21,-5.26,7.96,2023-11-28 19:45:41
79.00,4.00,31.00,45.00,2.00,-3.50,33.19,2.78,2.43,-5.21,8.46,2023-11-28 19:45:41
-54.00,3.00,29.00,43.00,0.00,-11.50,32.19,1.15,0.84,-5.06,7.90,2023-11-28 19:45:41
-102.00,4.00,28.00,41.00,-39.00,-12.63,30.69,-0.26,0.16,-4.49,8.08,2023-11-28 19:45:41
30.00,23.00,37.00,57.00,316.00,-11.56,30.06,-0.19,-0.15,-4.74,8.71,2023-11-28 19:45:41
-35.00,47.00,47.00,72.00,-3.00,-9.94,30.00,-0.83,-0.51,-5.01,9.04,2023-11-28 19:45:41
-100.00,64.00,54.00,73.00,-25.00,-4.62,30.12,-1.67,-1.12,-4.98,8.33,2023-11-28 19:45:41
-17.00,76.00,56.00,67.00,7.00,2.56,29.62,-1.93,-1.34,-4.60,8.18,2023-11-28 19:45:41
-85.00,87.00,59.00,65.00,-42.00,10.31,29.00,-2.67,-2.12,-4.25,8.61,2023-11-28 19:45:41
-90.00,97.00,62.00,67.00,242.00,22.00,26.87,-2.56,-2.08,-3.69,7.63,2023-11-28 19:45:41
-91.00,106.00,66.00,67.00,4.00,27.81,25.44,-0.98,-0.93,-3.51,7.32,2023-11-28 19:45:41
-99.00,106.00,67.00,67.00,-34.00,30.56,24.44,-0.10,-0.52,-3.03,7.16,2023-11-28 19:45:41
-100.00,108.00,68.00,69.00,67.00,31.12,23.62,0.15,-0.00,-3.22,7.88,2023-11-28 19:45:41
-92.00,108.00,67.00,65.00,8.00,30.25,22.75,0.07,0.15,-2.75,7.79,2023-11-28 19:45:41
-100.00,100.00,66.00,64.00,-34.00,29.69,22.87,0.16,0.31,-3.08,7.71,2023-11-28 19:45:42
-98.00,97.00,62.00,61.00,102.00,28.06,23.06,0.82,0.77,-2.95,7.90,2023-11-28 19:45:42
-89.00,76.00,55.00,56.00,2.00,23.06,23.62,1.50,0.81,-3.17,7.54,2023-11-28 19:45:42
-100.00,33.00,43.00,61.00,9.00,15.44,23.81,2.55,1.56,-4.28,9.18,2023-11-28 19:45:42
25.00,9.00,32.00,44.00,-16.00,6.19,24.25,2.99,1.82,-3.59,9.15,2023-11-28 19:45:42
-51.00,5.00,28.00,38.00,1.00,-3.44,25.69,2.47,1.50,-4.17,8.96,2023-11-28 19:45:42
-100.00,4.00,26.00,37.00,-30.00,-10.00,27.62,1.00,0.66,-4.22,8.38,2023-11-28 19:45:42
330.00,10.00,28.00,41.00,69.00,-11.94,29.31,0.18,0.32,-4.50,8.66,2023-11-28 19:45:42
-51.00,40.00,47.00,72.00,3.00,-12.63,31.56,0.18,0.07,-5.04,7.70,2023-11-28 19:45:42
-101.00,68.00,58.00,93.00,-7.00,-11.25,33.44,-0.54,-0.40,-5.53,8.08,2023-11-28 19:45:42
166.00,86.00,64.00,89.00,28.00,-9.44,34.50,-0.43,-0.48,-5.06,8.09,2023-11-28 19:45:42
-83.00,102.00,68.00,89.00,-59.00,-6.19,36.06,-1.14,-0.91,-5.57,7.80,2023-11-28 19:45:42
276.00,109.00,69.00,88.00,98.00,-0.19,37.56,-1.33,-1.63,-5.75,7.76,2023-11-28 19:45:42
-46.00,112.00,66.00,80.00,9.00,6.44,38.75,-1.64,-2.16,-6.43,7.61,2023-11-28 19:45:42
-98.00,109.00,63.00,76.00,-37.00,16.37,38.63,-2.02,-2.29,-4.89,6.54,2023-11-28 19:45:42
-96.00,108.00,63.00,74.00,175.00,23.62,38.25,-1.56,-1.54,-5.20,6.61,2023-11-28 19:45:42
-90.00,104.00,62.00,73.00,7.00,27.81,37.50,-0.63,-0.72,-4.84,7.27,2023-11-28 19:45:42
-95.00,100.00,61.00,71.00,-33.00,28.44,37.06,0.19,-0.03,-4.98,7.23,2023-11-28 19:45:42
-90.00,94.00,62.00,69.00,136.00,28.19,37.06,-0.01,-0.11,-5.14,6.82,2023-11-28 19:45:43
-92.00,94.00,60.00,68.00,13.00,28.19,36.88,0.11,0.26,-4.85,6.65,2023-11-28 19:45:43
-101.00,104.00,57.00,60.00,-5.00,26.37,36.81,0.63,0.55,-5.04,7.01,2023-11-28 19:45:43
-82.00,45.00,45.00,53.00,0.00,22.56,35.06,0.78,1.06,-5.52,7.94,2023-11-28 19:45:43
-73.00,11.00,33.00,42.00,-54.00,17.94,31.81,1.64,1.24,-4.81,8.46,2023-11-28 19:45:43
-99.00,4.00,28.00,34.00,12.00,13.19,29.50,0.60,1.28,-4.65,8.68,2023-11-28 19:45:43
10.00,3.00,28.00,33.00,-8.00,11.13,28.87,0.23,0.64,-4.60,8.45,2023-11-28 19:45:43
-37.00,7.00,25.00,33.00,-10.00,10.50,28.00,-0.38,0.58,-4.22,8.91,2023-11-28 19:45:43
-101.00,28.00,29.00,42.00,-21.00,10.63,28.50,-0.15,0.34,-4.54,8.75,2023-11-28 19:45:43
-14.00,43.00,37.00,59.00,-2.00,10.31,28.94,-0.10,0.34,-4.49,8.43,2023-11-28 19:45:43
-96.00,60.00,42.00,68.00,-61.00,10.75,29.62,-0.22,0.07,-4.92,8.84,2023-11-28 19:45:43
-95.00,79.00,49.00,72.00,287.00,11.00,30.44,-0.20,-0.01,-4.67,8.67,2023-11-28 19:45:43
-39.00,91.00,55.00,67.00,14.00,12.06,32.56,-0.21,-0.46,-4.96,8.63,2023-11-28 19:45:43
-101.00,100.00,56.00,66.00,-25.00,14.13,35.25,-0.74,-0.69,-5.27,8.00,2023-11-28 19:45:43
-84.00,105.00,55.00,62.00,275.00,17.44,39.06,-0.63,-0.66,-5.77,7.12,2023-11-28 19:45:43
-84.00,103.00,54.00,58.00,-2.00,18.94,40.88,-0.12,-0.40,-5.93,6.89,2023-11-28 19:45:43
-98.00,109.00,55.00,55.00,-44.00,20.25,42.19,-0.31,-0.18,-6.14,6.27,2023-11-28 19:45:43
-99.00,111.00,56.00,54.00,93.00,21.00,42.25,0.03,-0.42,-6.53,6.54,2023-11-28 19:45:43
-90.00,108.00,56.00,54.00,0.00,21.75,41.31,0.16,-0.34,-5.82,6.86,2023-11-28 19:45:44
-100.00,109.00,57.00,54.00,5.00,22.25,39.88,0.19,-0.45,-5.61,6.78,2023-11-28 19:45:44
-88.00,101.00,55.00,52.00,5.00,22.69,38.25,0.09,-0.48,-5.08,7.01,2023-11-28 19:45:44
-93.00,97.00,48.00,44.00,-34.00,23.00,36.88,0.28,-0.20,-4.73,7.04,2023-11-28 19:45:44
-101.00,73.00,39.00,41.00,0.00,22.06,36.31,0.41,0.27,-5.30,7.15,2023-11-28 19:45:44
20.00,30.00,30.00,39.00,0.00,18.56,33.81,1.50,1.14,-5.43,6.60,2023-11-28 19:45:44
-49.00,10.00,28.00,30.00,0.00,14.06,29.06,0.70,1.23,-4.20,9.99,2023-11-28 19:45:44
-101.00,1.00,25.00,26.00,-30.00,10.44,26.50,0.82,1.44,-3.73,9.22,2023-11-28 19:45:44
50.00,0.00,20.00,24.00,-16.00,7.44,26.69,0.35,1.11,-4.39,9.15,2023-11-28 19:45:44
