FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-101.0,-58.0,-96.0,41.0,-29.0,-30.31,32.63,0.05,-0.03,-4.63,7.3,2023-11-28 19:43:26,2,1
-100.0,-58.0,-96.0,42.0,38.0,-30.5,32.75,0.09,0.02,-4.53,7.13,2023-11-28 19:43:26,2,1
-96.0,-58.0,-96.0,39.0,0.0,-30.94,32.5,0.15,0.09,-4.42,7.11,2023-11-28 19:43:26,2,1
-98.0,-58.0,-96.0,38.0,-25.0,-31.31,32.13,0.15,0.05,-4.36,7.17,2023-11-28 19:43:26,2,1
-99.0,-58.0,-96.0,37.0,48.0,-31.75,31.75,0.12,0.07,-4.34,7.2,2023-11-28 19:43:26,2,1
-96.0,-58.0,-96.0,36.0,-3.0,-32.19,31.44,0.15,0.12,-4.2,7.3,2023-11-28 19:43:26,2,1
-101.0,-58.0,-96.0,37.0,-19.0,-32.94,31.5,0.2,0.16,-4.25,7.33,2023-11-28 19:43:26,2,1
-96.0,-58.0,-96.0,52.0,8.0,-33.94,32.75,0.41,0.18,-4.27,7.34,2023-11-28 19:43:27,2,1
-97.0,-58.0,-96.0,77.0,9.0,-36.0,35.69,1.15,0.2,-4.79,7.15,2023-11-28 19:43:27,2,1
-101.0,-58.0,-96.0,80.0,-4.0,-40.06,41.56,1.33,0.47,-4.61,5.9,2023-11-28 19:43:27,2,1
-97.0,-58.0,-96.0,80.0,121.0,-42.63,45.75,0.5,0.3,-5.28,5.03,2023-11-28 19:43:27,2,1
-96.0,-58.0,-96.0,78.0,7.0,-43.0,48.0,-0.31,0.01,-5.05,4.27,2023-11-28 19:43:27,2,1
-100.0,-58.0,-96.0,76.0,-23.0,-42.25,48.63,-0.52,0.06,-5.41,4.72,2023-11-28 19:43:27,2,1
-99.0,9.0,25.0,43.0,58.0,-57.5,26.44,-0.02,-0.0,-2.31,4.81,2023-11-28 19:43:35,2,1
-95.0,9.0,25.0,43.0,-3.0,-57.44,26.44,0.01,-0.0,-2.29,4.85,2023-11-28 19:43:35,2,1
-101.0,9.0,25.0,42.0,-12.0,-57.44,26.44,-0.01,-0.0,-2.33,4.81,2023-11-28 19:43:35,2,1
-94.0,9.0,26.0,40.0,-2.0,-57.44,26.44,0.01,0.0,-2.29,4.76,2023-11-28 19:43:36,2,1
-98.0,8.0,25.0,43.0,-31.0,-57.44,26.44,-0.01,-0.01,-2.3,4.78,2023-11-28 19:43:36,2,1
-101.0,9.0,26.0,43.0,17.0,-57.44,26.44,-0.01,-0.0,-2.33,4.83,2023-11-28 19:43:36,2,1
-95.0,9.0,25.0,42.0,-4.0,-57.44,26.44,0.02,0.01,-2.31,4.79,2023-11-28 19:43:36,2,1
-101.0,9.0,25.0,44.0,-29.0,-57.44,26.44,-0.02,-0.0,-2.3,4.81,2023-11-28 19:43:36,2,1
-94.0,9.0,25.0,42.0,11.0,-57.44,26.44,-0.01,-0.01,-2.29,4.84,2023-11-28 19:43:36,2,1
-98.0,9.0,26.0,43.0,-30.0,-57.44,26.5,0.0,-0.01,-2.37,4.83,2023-11-28 19:43:36,2,1
-101.0,8.0,25.0,43.0,11.0,-57.5,26.56,0.03,0.01,-2.27,4.81,2023-11-28 19:43:36,2,1
-95.0,9.0,26.0,42.0,-2.0,-57.56,26.69,0.02,0.0,-2.33,4.75,2023-11-28 19:43:36,2,1
-101.0,9.0,26.0,43.0,-14.0,-57.63,26.75,0.01,-0.01,-2.29,4.78,2023-11-28 19:43:36,2,1
-96.0,9.0,26.0,43.0,103.0,-57.63,26.87,0.02,-0.01,-2.4,4.8,2023-11-28 19:43:36,2,1
-95.0,9.0,26.0,43.0,-5.0,-57.75,27.25,0.09,-0.02,-2.28,4.86,2023-11-28 19:43:36,2,1
-101.0,23.0,41.0,59.0,1.0,-58.06,28.62,0.34,-0.09,-2.52,4.66,2023-11-28 19:43:36,2,1
-93.0,61.0,58.0,83.0,17.0,-58.63,32.38,0.1,-0.06,-2.73,4.84,2023-11-28 19:43:36,2,1
-95.0,96.0,68.0,89.0,10.0,-59.25,36.81,0.43,0.04,-3.44,4.19,2023-11-28 19:43:36,2,1
-101.0,103.0,69.0,88.0,3.0,-60.5,42.31,0.51,-0.06,-3.31,3.46,2023-11-28 19:43:36,2,1
-94.0,108.0,70.0,85.0,10.0,-61.94,47.13,0.65,0.13,-3.31,2.91,2023-11-28 19:43:36,2,1
-96.0,112.0,71.0,82.0,12.0,-64.19,50.5,0.87,0.47,-3.21,2.49,2023-11-28 19:43:36,2,1
-98.0,111.0,69.0,80.0,124.0,-67.06,52.31,0.54,0.5,-2.92,2.6,2023-11-28 19:43:37,2,1
-95.0,111.0,69.0,83.0,13.0,-68.12,53.75,-0.01,0.09,-3.15,2.26,2023-11-28 19:43:37,2,1
-101.0,109.0,67.0,81.0,-1.0,-68.25,53.5,-0.03,0.12,-2.79,2.33,2023-11-28 19:43:37,2,1
-94.0,105.0,67.0,79.0,70.0,-68.44,53.06,-0.1,0.04,-3.08,2.28,2023-11-28 19:43:37,2,1
-95.0,99.0,65.0,78.0,9.0,-68.25,52.0,-0.13,0.04,-2.94,2.26,2023-11-28 19:43:37,2,1
-101.0,92.0,63.0,78.0,-27.0,-67.25,48.19,-0.8,-0.39,-2.81,2.23,2023-11-28 19:43:37,2,1
-99.0,54.0,54.0,81.0,124.0,-62.38,41.13,-1.87,-0.91,-3.29,2.92,2023-11-28 19:43:37,2,1
-95.0,26.0,39.0,69.0,9.0,-55.75,30.94,-2.01,-0.51,-2.07,4.74,2023-11-28 19:43:37,2,1
-101.0,14.0,30.0,47.0,-1.0,-49.38,26.0,-2.55,-0.79,-2.73,6.18,2023-11-28 19:43:37,2,1
-94.0,10.0,28.0,42.0,-1.0,-40.38,22.56,-2.51,-0.77,-2.72,7.3,2023-11-28 19:43:37,2,1
-101.0,8.0,26.0,34.0,-33.0,-32.31,20.5,-2.28,-0.66,-2.76,7.81,2023-11-28 19:43:37,2,1
-99.0,7.0,25.0,32.0,40.0,-26.44,19.69,-1.74,-0.69,-2.75,8.41,2023-11-28 19:43:37,2,1
-94.0,7.0,24.0,27.0,-7.0,-20.25,19.56,-1.59,-0.68,-2.85,8.46,2023-11-28 19:43:37,2,1
-97.0,8.0,24.0,25.0,-30.0,-16.5,19.5,-1.06,-0.57,-3.01,8.86,2023-11-28 19:43:37,2,1
-101.0,8.0,25.0,23.0,-7.0,-13.38,19.25,-0.69,-0.29,-3.09,9.11,2023-11-28 19:43:37,2,1
-94.0,8.0,25.0,23.0,-10.0,-12.0,19.0,-0.32,-0.16,-2.89,9.14,2023-11-28 19:43:37,2,1
-98.0,9.0,26.0,25.0,-32.0,-11.06,18.62,-0.29,-0.09,-3.01,9.19,2023-11-28 19:43:37,2,1
-100.0,11.0,31.0,30.0,29.0,-10.31,18.56,-0.09,-0.06,-2.97,9.26,2023-11-28 19:43:37,2,1
-95.0,26.0,41.0,48.0,-1.0,-10.25,18.81,0.04,0.05,-2.89,9.22,2023-11-28 19:43:38,2,1
-101.0,54.0,50.0,65.0,-1.0,-11.13,19.62,0.4,0.15,-3.37,9.15,2023-11-28 19:43:38,2,1
-93.0,74.0,55.0,65.0,26.0,-12.63,20.06,0.66,0.23,-3.11,8.97,2023-11-28 19:43:38,2,1
-95.0,89.0,61.0,63.0,7.0,-15.94,21.25,1.06,0.3,-3.37,8.74,2023-11-28 19:43:38,2,1
-101.0,100.0,62.0,62.0,-13.0,-19.5,22.37,1.25,0.44,-3.61,8.7,2023-11-28 19:43:38,2,1
-98.0,108.0,67.0,63.0,101.0,-22.12,23.37,0.71,0.27,-3.21,8.89,2023-11-28 19:43:38,2,1
-94.0,115.0,69.0,62.0,4.0,-25.94,24.37,1.31,0.67,-3.73,7.88,2023-11-28 19:43:38,2,1
-101.0,114.0,68.0,59.0,-10.0,-30.75,25.0,1.67,0.53,-3.31,7.45,2023-11-28 19:43:38,2,1
-93.0,106.0,66.0,59.0,6.0,-37.38,26.37,1.94,0.82,-3.36,6.94,2023-11-28 19:43:38,2,1
-95.0,111.0,67.0,57.0,2.0,-44.56,28.0,2.5,1.0,-3.2,6.22,2023-11-28 19:43:38,2,1
-100.0,105.0,66.0,60.0,51.0,-52.25,30.37,2.01,0.78,-3.0,4.9,2023-11-28 19:43:38,2,1
-93.0,103.0,66.0,59.0,7.0,-57.06,32.5,1.39,0.56,-2.73,4.27,2023-11-28 19:43:38,2,1
-95.0,106.0,66.0,59.0,-17.0,-61.25,34.69,1.09,0.47,-2.4,3.72,2023-11-28 19:43:38,2,1
-101.0,105.0,64.0,61.0,5.0,-64.06,36.88,0.94,0.4,-2.73,3.58,2023-11-28 19:43:38,2,1
-93.0,103.0,65.0,60.0,13.0,-66.87,39.56,0.67,0.22,-2.57,3.12,2023-11-28 19:43:38,2,1
-95.0,103.0,65.0,62.0,7.0,-69.37,43.0,1.14,0.32,-2.12,2.64,2023-11-28 19:43:38,2,1
-101.0,102.0,65.0,63.0,8.0,-72.19,49.5,0.86,0.22,-2.27,1.82,2023-11-28 19:43:38,2,1
-94.0,97.0,64.0,61.0,3.0,-75.87,58.0,1.23,0.63,-1.96,1.3,2023-11-28 19:43:38,2,1
-100.0,98.0,64.0,63.0,-29.0,-78.19,65.87,0.7,0.32,-1.59,0.81,2023-11-28 19:43:39,2,1
-94.0,96.0,64.0,61.0,75.0,-79.94,72.94,0.47,0.38,-1.61,0.6,2023-11-28 19:43:39,2,1
-94.0,100.0,64.0,61.0,5.0,-80.75,76.81,0.09,0.11,-1.6,0.21,2023-11-28 19:43:39,2,1
-101.0,95.0,62.0,61.0,-24.0,-80.69,74.5,-0.1,0.01,-1.43,0.57,2023-11-28 19:43:39,2,1
-99.0,92.0,64.0,61.0,83.0,-80.37,69.25,-0.52,-0.05,-1.47,0.8,2023-11-28 19:43:39,2,1
-93.0,82.0,63.0,61.0,6.0,-78.31,52.06,-1.5,-0.36,-1.69,1.05,2023-11-28 19:43:39,2,1
-100.0,61.0,55.0,67.0,-31.0,-74.0,43.69,-1.17,-0.64,-1.99,2.0,2023-11-28 19:43:39,2,1
-98.0,34.0,46.0,72.0,147.0,-70.56,36.75,-1.29,-0.17,-1.88,2.87,2023-11-28 19:43:39,2,1
-94.0,16.0,36.0,50.0,7.0,-62.94,27.44,-2.77,-0.91,-2.07,3.85,2023-11-28 19:43:39,2,1
-101.0,10.0,30.0,36.0,-12.0,-53.19,23.19,-3.65,-1.26,-1.61,5.13,2023-11-28 19:43:39,2,1
-94.0,6.0,27.0,30.0,-5.0,-39.38,20.31,-3.96,-1.62,-2.67,7.07,2023-11-28 19:43:39,2,1
-96.0,4.0,26.0,28.0,-6.0,-28.06,18.12,-3.24,-1.37,-2.19,8.48,2023-11-28 19:43:39,2,1
-101.0,4.0,24.0,25.0,-13.0,-20.56,16.69,-1.28,-0.64,-2.71,8.92,2023-11-28 19:43:39,2,1
-93.0,4.0,24.0,22.0,4.0,-17.87,14.88,-0.62,-0.31,-1.81,8.54,2023-11-28 19:43:39,2,1
-95.0,1.0,23.0,20.0,-12.0,-16.62,13.88,-0.19,-0.19,-2.37,9.05,2023-11-28 19:43:39,2,1
-101.0,0.0,22.0,17.0,-20.0,-17.06,13.88,0.53,-0.16,-1.93,9.17,2023-11-28 19:43:39,2,1
-93.0,-1.0,22.0,15.0,-8.0,-18.06,14.44,0.1,-0.01,-2.35,9.33,2023-11-28 19:43:39,2,1
-98.0,0.0,24.0,20.0,-34.0,-18.87,14.75,0.42,0.04,-2.28,9.22,2023-11-28 19:43:39,2,1
-99.0,3.0,27.0,29.0,40.0,-20.25,15.75,0.51,0.21,-2.54,9.0,2023-11-28 19:43:40,2,1
-95.0,8.0,30.0,35.0,-1.0,-22.75,17.69,0.96,0.36,-2.74,8.58,2023-11-28 19:43:40,2,1
-101.0,12.0,32.0,40.0,-23.0,-26.94,19.31,1.67,0.6,-2.78,8.02,2023-11-28 19:43:40,2,1
-98.0,19.0,38.0,52.0,95.0,-33.5,22.25,2.04,0.67,-2.98,7.61,2023-11-28 19:43:40,2,1
-94.0,55.0,60.0,72.0,8.0,-39.06,25.44,1.65,0.72,-3.38,6.74,2023-11-28 19:43:40,2,1
-98.0,97.0,75.0,77.0,-28.0,-44.31,30.12,1.33,0.47,-3.67,5.79,2023-11-28 19:43:40,2,1
-93.0,117.0,78.0,73.0,68.0,-48.63,33.31,1.32,0.51,-3.77,4.83,2023-11-28 19:43:40,2,1
-94.0,113.0,76.0,69.0,5.0,-53.38,35.88,1.84,0.72,-3.38,4.55,2023-11-28 19:43:40,2,1
-101.0,116.0,75.0,66.0,0.0,-58.5,38.44,1.13,0.62,-3.26,3.96,2023-11-28 19:43:40,2,1
-94.0,111.0,75.0,65.0,10.0,-64.12,41.19,1.84,1.18,-2.63,3.49,2023-11-28 19:43:40,2,1
-95.0,108.0,75.0,64.0,-7.0,-69.69,43.38,1.41,1.01,-2.08,2.38,2023-11-28 19:43:40,2,1
-101.0,108.0,63.0,63.0,3.0,-73.25,46.06,0.83,0.64,-1.83,1.72,2023-11-28 19:43:40,2,1
-93.0,105.0,73.0,63.0,18.0,-76.37,49.5,0.69,0.44,-1.72,1.36,2023-11-28 19:43:40,2,1
-95.0,102.0,72.0,63.0,7.0,-77.62,51.75,0.14,0.17,-1.66,1.38,2023-11-28 19:43:40,2,1
-101.0,100.0,69.0,61.0,-10.0,-77.94,51.81,-0.07,-0.03,-1.52,1.39,2023-11-28 19:43:40,2,1
-96.0,101.0,72.0,62.0,141.0,-77.37,50.69,-0.27,-0.13,-1.69,1.45,2023-11-28 19:43:40,2,1
-94.0,99.0,70.0,61.0,7.0,-76.12,47.56,-0.53,-0.24,-1.83,1.61,2023-11-28 19:43:40,2,1
-101.0,87.0,69.0,63.0,9.0,-71.0,40.13,-2.15,-1.15,-1.91,2.2,2023-11-28 19:43:40,2,1
-93.0,66.0,65.0,66.0,7.0,-61.94,32.81,-3.62,-1.63,-2.2,3.14,2023-11-28 19:43:41,2,1
-97.0,33.0,50.0,66.0,-28.0,-49.0,25.31,-3.33,-1.27,-2.12,5.2,2023-11-28 19:43:41,2,1
-101.0,18.0,35.0,46.0,16.0,-40.19,18.5,-2.89,-0.62,-2.04,7.83,2023-11-28 19:43:41,2,1
-94.0,9.0,28.0,31.0,-3.0,-32.56,12.94,-1.88,-0.27,-1.56,8.3,2023-11-28 19:43:41,2,1
-95.0,4.0,24.0,24.0,-8.0,-28.44,9.44,-1.27,-0.09,-1.05,8.56,2023-11-28 19:43:41,2,1
-101.0,2.0,23.0,19.0,-15.0,-25.75,7.44,-0.64,0.02,-0.95,9.03,2023-11-28 19:43:41,2,1
-94.0,1.0,21.0,17.0,-10.0,-23.94,7.12,-0.43,-0.13,-0.92,9.21,2023-11-28 19:43:41,2,1
-96.0,1.0,21.0,16.0,-18.0,-23.69,7.31,0.16,-0.13,-0.93,9.28,2023-11-28 19:43:41,2,1
-98.0,2.0,21.0,17.0,47.0,-23.94,8.44,0.03,-0.03,-1.33,9.04,2023-11-28 19:43:41,2,1
-95.0,8.0,23.0,24.0,-8.0,-24.81,9.81,0.68,0.16,-1.44,8.78,2023-11-28 19:43:41,2,1
-101.0,24.0,32.0,36.0,-11.0,-28.25,12.31,1.48,0.33,-1.61,8.49,2023-11-28 19:43:41,2,1
-93.0,35.0,38.0,53.0,35.0,-34.19,16.69,2.11,0.53,-2.51,7.28,2023-11-28 19:43:41,2,1
-95.0,51.0,45.0,66.0,4.0,-42.06,19.75,3.14,0.75,-2.13,6.33,2023-11-28 19:43:41,2,1
-101.0,79.0,58.0,76.0,-21.0,-51.81,23.44,2.25,0.86,-2.33,5.06,2023-11-28 19:43:41,2,1
-98.0,110.0,69.0,80.0,131.0,-57.75,28.0,1.91,0.74,-2.3,4.39,2023-11-28 19:43:41,2,1
-94.0,109.0,73.0,74.0,7.0,-63.19,33.0,1.15,0.69,-2.59,3.18,2023-11-28 19:43:41,2,1
-101.0,108.0,74.0,68.0,10.0,-66.62,35.31,0.98,0.65,-2.23,2.45,2023-11-28 19:43:41,2,1
-92.0,104.0,74.0,67.0,6.0,-70.25,37.69,0.9,0.61,-2.23,2.5,2023-11-28 19:43:41,2,1
-99.0,105.0,73.0,67.0,-30.0,-73.81,39.75,0.78,0.57,-1.78,2.41,2023-11-28 19:43:42,2,1
-101.0,103.0,73.0,66.0,43.0,-76.81,41.38,0.86,0.79,-1.7,1.77,2023-11-28 19:43:42,2,1
-93.0,99.0,72.0,65.0,7.0,-79.87,42.56,0.45,0.43,-1.16,1.24,2023-11-28 19:43:42,2,1
-94.0,100.0,71.0,65.0,-1.0,-81.06,42.5,0.17,0.16,-0.84,0.93,2023-11-28 19:43:42,2,1
-101.0,98.0,71.0,63.0,2.0,-80.75,42.63,-0.17,-0.16,-0.94,1.15,2023-11-28 19:43:42,2,1
-91.0,94.0,70.0,64.0,14.0,-79.94,41.88,-0.24,-0.23,-1.21,1.41,2023-11-28 19:43:42,2,1
-94.0,84.0,68.0,67.0,-18.0,-78.06,40.0,-0.62,-0.44,-1.41,1.28,2023-11-28 19:43:42,2,1
-101.0,72.0,63.0,68.0,37.0,-74.12,36.25,-1.98,-1.21,-1.67,1.35,2023-11-28 19:43:42,2,1
-93.0,43.0,50.0,72.0,10.0,-64.06,26.75,-3.55,-1.17,-1.27,2.47,2023-11-28 19:43:42,2,1
-101.0,18.0,36.0,49.0,-12.0,-47.69,15.5,-5.63,-1.0,-1.29,5.08,2023-11-28 19:43:42,2,1
-95.0,6.0,27.0,30.0,81.0,-35.25,8.94,-3.49,-0.53,-0.59,8.58,2023-11-28 19:43:42,2,1
-94.0,3.0,22.0,28.0,-9.0,-26.44,4.37,-1.89,-0.28,-0.27,8.81,2023-11-28 19:43:42,2,1
-100.0,2.0,20.0,27.0,-34.0,-22.81,2.12,-0.9,-0.02,-0.23,9.23,2023-11-28 19:43:42,2,1
-100.0,2.0,19.0,27.0,29.0,-21.44,0.69,-0.12,-0.1,0.03,9.3,2023-11-28 19:43:42,2,1
-94.0,2.0,19.0,25.0,-7.0,-21.25,0.88,0.0,-0.06,-0.07,9.27,2023-11-28 19:43:42,2,1
-101.0,1.0,19.0,26.0,-19.0,-21.5,1.19,0.16,-0.18,-0.06,8.68,2023-11-28 19:43:42,2,1
-94.0,3.0,19.0,27.0,-2.0,-22.12,2.44,0.13,-0.09,-0.32,8.94,2023-11-28 19:43:42,2,1
-95.0,6.0,19.0,29.0,-4.0,-22.62,4.19,0.28,-0.03,-0.62,9.26,2023-11-28 19:43:42,2,1
-100.0,10.0,24.0,36.0,33.0,-24.25,6.69,0.62,0.14,-0.54,9.21,2023-11-28 19:43:43,2,1
-94.0,25.0,36.0,53.0,3.0,-27.19,10.94,1.4,0.42,-1.47,8.69,2023-11-28 19:43:43,2,1
-95.0,46.0,49.0,71.0,-17.0,-34.44,16.56,2.6,0.75,-2.62,7.73,2023-11-28 19:43:43,2,1
-101.0,74.0,60.0,78.0,17.0,-42.75,20.37,2.86,0.87,-2.42,6.54,2023-11-28 19:43:43,2,1
-92.0,102.0,68.0,82.0,22.0,-50.94,25.19,2.09,0.68,-2.12,4.7,2023-11-28 19:43:43,2,1
-94.0,115.0,72.0,81.0,12.0,-55.5,27.31,1.05,0.66,-2.34,4.49,2023-11-28 19:43:43,2,1
-101.0,114.0,72.0,80.0,12.0,-59.06,28.19,0.47,0.69,-2.15,4.01,2023-11-28 19:43:43,2,1
-93.0,109.0,72.0,77.0,11.0,-61.31,27.87,0.59,0.59,-1.99,3.64,2023-11-28 19:43:43,2,1
-100.0,106.0,72.0,74.0,-30.0,-63.5,26.37,0.32,0.55,-1.94,3.96,2023-11-28 19:43:43,2,1
-92.0,100.0,71.0,74.0,88.0,-63.44,25.69,-0.04,0.03,-1.6,3.83,2023-11-28 19:43:43,2,1
-93.0,96.0,71.0,72.0,11.0,-64.06,25.31,0.21,0.14,-1.76,3.97,2023-11-28 19:43:43,2,1
-101.0,99.0,70.0,70.0,-30.0,-64.12,25.31,-0.0,0.01,-1.7,4.03,2023-11-28 19:43:43,2,1
-98.0,97.0,68.0,70.0,108.0,-64.19,25.81,0.03,-0.15,-1.94,3.83,2023-11-28 19:43:43,2,1
-92.0,86.0,68.0,70.0,10.0,-63.69,27.75,-0.04,-0.59,-2.16,3.74,2023-11-28 19:43:43,2,1
-96.0,64.0,61.0,72.0,-28.0,-61.13,28.5,-0.95,-1.01,-2.18,3.63,2023-11-28 19:43:43,2,1
-97.0,30.0,46.0,70.0,155.0,-54.25,25.94,-2.26,-1.1,-2.38,4.45,2023-11-28 19:43:43,2,1
-93.0,11.0,30.0,41.0,-2.0,-44.19,20.62,-2.85,-0.92,-2.34,6.32,2023-11-28 19:43:43,2,1
-101.0,6.0,23.0,31.0,-13.0,-35.94,16.62,-2.92,-0.77,-2.03,7.66,2023-11-28 19:43:43,2,1
-94.0,2.0,20.0,26.0,-6.0,-27.25,13.44,-2.04,-0.69,-1.74,8.45,2023-11-28 19:43:44,2,1
-96.0,0.0,19.0,22.0,-8.0,-23.06,11.38,-1.08,-0.28,-1.61,8.64,2023-11-28 19:43:44,2,1
-101.0,0.0,16.0,18.0,-14.0,-20.87,8.94,-0.42,-0.23,-1.17,8.59,2023-11-28 19:43:44,2,1
-92.0,-1.0,16.0,17.0,0.0,-19.94,7.37,-0.25,-0.1,-0.97,8.85,2023-11-28 19:43:44,2,1
-95.0,-1.0,14.0,17.0,-11.0,-19.56,6.19,0.01,-0.08,-0.71,9.2,2023-11-28 19:43:44,2,1
-101.0,0.0,14.0,18.0,-20.0,-19.87,5.56,0.07,0.01,-0.83,9.43,2023-11-28 19:43:44,2,1
-93.0,-1.0,14.0,17.0,-4.0,-19.94,5.56,0.07,-0.03,-0.73,9.43,2023-11-28 19:43:44,2,1
-99.0,-1.0,14.0,17.0,-36.0,-20.69,5.81,0.21,0.07,-0.65,9.44,2023-11-28 19:43:44,2,1
-101.0,1.0,17.0,21.0,8.0,-21.69,7.0,0.51,0.17,-0.85,9.29,2023-11-28 19:43:44,2,1
-94.0,10.0,19.0,28.0,-9.0,-24.62,10.19,1.06,0.36,-1.19,9.12,2023-11-28 19:43:44,2,1
-99.0,23.0,25.0,39.0,-33.0,-27.94,14.56,1.25,0.37,-2.34,7.92,2023-11-28 19:43:44,2,1
