FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
-106.00,-58.00,-96.00,38.00,-24.00,11.75,30.00,0.03,0.01,-4.80,8.39,2023-11-28 20:12:06
-106.00,-58.00,-96.00,39.00,30.00,11.56,29.94,0.06,0.00,-4.74,8.40,2023-11-28 20:12:06
-106.00,-58.00,-96.00,38.00,-4.00,11.44,29.81,0.05,-0.00,-4.72,8.40,2023-11-28 20:12:06
-106.00,-58.00,-96.00,38.00,-22.00,11.31,29.81,0.07,-0.02,-4.84,8.45,2023-11-28 20:12:06
-106.00,-58.00,-96.00,42.00,40.00,11.25,30.00,0.01,-0.06,-4.78,8.43,2023-11-28 20:12:06
-102.00,-58.00,-96.00,50.00,-1.00,11.38,30.12,-0.03,-0.08,-4.85,8.44,2023-11-28 20:12:06
-106.00,-58.00,-96.00,64.00,-5.00,11.75,30.25,-0.13,-0.14,-4.77,8.43,2023-11-28 20:12:06
-106.00,-58.00,-96.00,78.00,6.00,12.25,30.69,-0.09,-0.15,-4.72,8.32,2023-11-28 20:12:06
-106.00,-58.00,-96.00,95.00,16.00,12.63,31.50,-0.12,-0.10,-5.05,8.44,2023-11-28 20:12:06
-106.00,-58.00,-96.00,98.00,10.00,13.13,32.94,-0.11,-0.03,-5.28,7.97,2023-11-28 20:12:06
-106.00,-58.00,-96.00,92.00,35.00,13.19,33.50,0.08,0.09,-5.24,7.90,2023-11-28 20:12:06
-106.00,-58.00,-96.00,80.00,10.00,12.75,32.69,0.11,0.23,-5.18,7.73,2023-11-28 20:12:06
-101.00,-58.00,-96.00,53.00,2.00,11.88,30.87,0.35,0.28,-5.06,8.48,2023-11-28 20:12:06
-106.00,-58.00,-96.00,39.00,-5.00,10.25,29.37,0.37,0.19,-4.60,8.74,2023-11-28 20:12:07
-106.00,-58.00,-96.00,38.00,-25.00,9.94,29.19,-0.06,-0.05,-4.73,8.49,2023-11-28 20:12:07
-106.00,-58.00,-96.00,42.00,50.00,10.25,29.12,-0.09,-0.12,-4.55,8.63,2023-11-28 20:12:07
-101.00,-57.00,-96.00,53.00,0.00,10.75,29.56,-0.08,-0.16,-4.71,8.65,2023-11-28 20:12:07
-102.00,-58.00,-96.00,69.00,-15.00,11.31,30.31,-0.15,-0.21,-4.85,8.39,2023-11-28 20:12:07
-106.00,-58.00,-96.00,85.00,68.00,12.13,31.44,-0.15,-0.22,-5.08,8.27,2023-11-28 20:12:07
-106.00,-58.00,-96.00,92.00,11.00,12.63,32.00,-0.11,-0.17,-5.03,7.99,2023-11-28 20:12:07
-106.00,-58.00,-96.00,96.00,-12.00,12.94,32.50,-0.01,-0.01,-4.98,8.18,2023-11-28 20:12:07
-106.00,-58.00,-96.00,98.00,27.00,13.00,33.00,-0.03,0.03,-5.19,7.95,2023-11-28 20:12:07
-106.00,-58.00,-96.00,88.00,12.00,13.00,33.13,-0.02,0.09,-5.18,7.95,2023-11-28 20:12:07
-106.00,-58.00,-96.00,70.00,-18.00,12.19,31.62,0.38,0.11,-5.07,8.11,2023-11-28 20:12:07
-106.00,-58.00,-96.00,51.00,41.00,11.06,29.81,0.36,0.16,-4.55,8.75,2023-11-28 20:12:07
-106.00,-58.00,-96.00,43.00,-1.00,10.19,29.37,0.16,-0.06,-4.77,8.46,2023-11-28 20:12:07
-101.00,-58.00,-96.00,39.00,-9.00,10.00,29.37,0.12,-0.15,-4.78,8.56,2023-11-28 20:12:07
-99.00,-58.00,-96.00,40.00,47.00,9.81,29.37,0.18,-0.02,-4.75,8.51,2023-11-28 20:12:07
-101.00,-58.00,-96.00,43.00,-2.00,9.56,29.50,0.07,0.03,-4.72,8.56,2023-11-28 20:12:07
-106.00,-58.00,-96.00,50.00,-22.00,9.44,29.94,0.02,-0.03,-4.78,8.58,2023-11-28 20:12:07
-101.00,-58.00,-96.00,63.00,39.00,9.75,30.56,-0.20,-0.08,-5.00,8.31,2023-11-28 20:12:07
-101.00,-58.00,-96.00,81.00,8.00,10.44,31.06,-0.23,-0.04,-5.01,8.38,2023-11-28 20:12:08
-102.00,-58.00,-96.00,95.00,-13.00,11.00,31.62,-0.26,0.01,-5.00,8.42,2023-11-28 20:12:08
-98.00,-58.00,-96.00,102.00,103.00,11.63,32.81,-0.22,-0.00,-5.31,8.07,2023-11-28 20:12:08
-100.00,-57.00,-96.00,100.00,13.00,11.88,33.56,-0.02,0.00,-5.20,7.88,2023-11-28 20:12:08
-106.00,-58.00,-96.00,93.00,12.00,11.81,33.81,0.08,0.05,-5.32,7.97,2023-11-28 20:12:08
-106.00,-58.00,-96.00,77.00,18.00,11.19,33.13,0.20,0.13,-5.50,7.83,2023-11-28 20:12:08
-106.00,-58.00,-96.00,55.00,5.00,10.63,31.75,0.17,0.07,-4.98,8.57,2023-11-28 20:12:08
-106.00,-58.00,-96.00,46.00,-6.00,10.13,30.94,0.08,0.00,-4.81,8.48,2023-11-28 20:12:08
-106.00,-58.00,-96.00,44.00,-1.00,10.13,30.81,0.02,-0.03,-5.01,8.28,2023-11-28 20:12:08
-106.00,-57.00,-96.00,42.00,-1.00,10.13,30.62,0.02,-0.01,-4.85,8.38,2023-11-28 20:12:08
-106.00,-58.00,-96.00,43.00,37.00,10.13,30.50,-0.03,0.00,-4.88,8.47,2023-11-28 20:12:08
-101.00,-58.00,-96.00,45.00,-3.00,10.38,30.37,-0.09,-0.04,-4.83,8.31,2023-11-28 20:12:08
-106.00,-58.00,-96.00,51.00,-10.00,10.63,30.25,-0.08,-0.08,-4.80,8.60,2023-11-28 20:12:08
-99.00,-58.00,-96.00,65.00,64.00,11.00,30.62,-0.05,-0.26,-4.88,8.39,2023-11-28 20:12:08
-106.00,-58.00,-96.00,79.00,9.00,11.69,31.12,-0.15,-0.22,-4.81,8.44,2023-11-28 20:12:08
-106.00,-58.00,-96.00,93.00,-16.00,12.38,32.19,-0.17,-0.16,-5.02,8.31,2023-11-28 20:12:08
-106.00,-58.00,-96.00,97.00,36.00,13.00,34.31,-0.08,-0.14,-5.48,7.73,2023-11-28 20:12:08
-106.00,-58.00,-96.00,92.00,11.00,13.25,35.19,0.06,-0.08,-5.40,7.67,2023-11-28 20:12:08
-106.00,-58.00,-96.00,84.00,-17.00,13.13,34.94,0.03,0.10,-5.42,7.77,2023-11-28 20:12:09
-106.00,-58.00,-96.00,63.00,19.00,12.38,34.19,0.18,0.27,-5.19,7.98,2023-11-28 20:12:09
-106.00,-58.00,-96.00,48.00,0.00,11.63,33.38,0.21,0.20,-5.27,8.21,2023-11-28 20:12:09
-106.00,-58.00,-96.00,44.00,-2.00,10.94,32.75,0.07,0.05,-5.19,8.23,2023-11-28 20:12:09
-106.00,-58.00,-96.00,42.00,0.00,10.88,32.38,0.02,-0.02,-5.10,8.37,2023-11-28 20:12:09
-106.00,-58.00,-96.00,42.00,-1.00,10.88,32.31,-0.01,-0.04,-5.15,8.31,2023-11-28 20:12:09
-106.00,-58.00,-96.00,46.00,-8.00,11.00,32.31,-0.04,-0.02,-5.08,8.28,2023-11-28 20:12:09
-106.00,-58.00,-96.00,54.00,63.00,11.25,32.63,-0.08,-0.05,-5.21,8.27,2023-11-28 20:12:09
-106.00,-58.00,-96.00,61.00,1.00,11.56,33.00,-0.09,-0.06,-5.28,8.16,2023-11-28 20:12:09
-106.00,-58.00,-96.00,63.00,-14.00,11.88,33.50,-0.08,-0.02,-5.20,8.06,2023-11-28 20:12:09
-106.00,-58.00,-96.00,58.00,11.00,12.06,33.94,0.05,0.05,-5.45,8.05,2023-11-28 20:12:09
-106.00,-58.00,-96.00,48.00,2.00,11.69,33.75,0.14,0.03,-5.42,7.84,2023-11-28 20:12:09
-106.00,-58.00,-96.00,41.00,7.00,11.31,33.06,0.07,0.07,-5.14,8.42,2023-11-28 20:12:09
-106.00,-58.00,-96.00,39.00,-5.00,11.25,33.06,-0.02,-0.00,-5.34,8.11,2023-11-28 20:12:09
-106.00,-58.00,-96.00,39.00,0.00,11.31,33.06,-0.02,-0.01,-5.23,8.28,2023-11-28 20:12:09
-106.00,-58.00,-96.00,42.00,-5.00,11.44,33.25,-0.04,-0.03,-5.20,8.17,2023-11-28 20:12:09
-106.00,-58.00,-96.00,48.00,14.00,11.56,33.56,-0.04,-0.01,-5.40,8.26,2023-11-28 20:12:09
-106.00,-58.00,-96.00,56.00,0.00,11.75,34.06,-0.05,-0.04,-5.37,8.05,2023-11-28 20:12:09
-106.00,-58.00,-96.00,56.00,0.00,12.00,34.56,-0.02,-0.04,-5.46,7.92,2023-11-28 20:12:10
-106.00,-58.00,-96.00,51.00,0.00,11.94,34.75,0.05,0.04,-5.53,7.90,2023-11-28 20:12:10
-106.00,-58.00,-96.00,44.00,-13.00,11.63,34.50,0.10,0.06,-5.49,8.00,2023-11-28 20:12:10
-106.00,-58.00,-96.00,40.00,49.00,11.31,34.13,0.05,0.07,-5.36,8.17,2023-11-28 20:12:10
-106.00,-58.00,-96.00,39.00,-4.00,11.19,33.94,0.01,0.05,-5.39,8.20,2023-11-28 20:12:10
-106.00,-58.00,-96.00,39.00,-26.00,11.00,33.88,0.05,0.04,-5.33,8.11,2023-11-28 20:12:10
-106.00,-58.00,-96.00,50.00,19.00,10.94,34.06,0.01,-0.02,-5.37,8.30,2023-11-28 20:12:10
-106.00,-57.00,-96.00,60.00,2.00,11.19,34.69,-0.10,-0.05,-5.46,7.93,2023-11-28 20:12:10
-106.00,-58.00,-96.00,62.00,1.00,11.50,35.06,-0.07,-0.05,-5.53,7.86,2023-11-28 20:12:10
-106.00,-58.00,-96.00,53.00,30.00,11.44,35.06,0.12,0.04,-5.62,7.82,2023-11-28 20:12:10
-106.00,-58.00,-96.00,44.00,0.00,11.00,34.50,0.07,0.07,-5.46,8.13,2023-11-28 20:12:10
-106.00,-58.00,-96.00,40.00,-7.00,10.75,34.19,0.04,0.00,-5.40,8.13,2023-11-28 20:12:10
-106.00,-58.00,-96.00,40.00,-6.00,10.81,34.00,-0.05,-0.01,-5.42,8.10,2023-11-28 20:12:10
-106.00,-58.00,-96.00,43.00,0.00,10.88,33.94,-0.06,-0.01,-5.32,8.23,2023-11-28 20:12:10
-106.00,-58.00,-96.00,57.00,0.00,11.19,34.31,-0.14,-0.01,-5.45,8.13,2023-11-28 20:12:10
-106.00,-58.00,-96.00,63.00,21.00,11.50,34.75,-0.06,-0.05,-5.47,7.79,2023-11-28 20:12:10
-106.00,-58.00,-96.00,57.00,2.00,11.69,34.81,0.01,-0.02,-5.40,8.00,2023-11-28 20:12:10
-106.00,-58.00,-96.00,49.00,-6.00,11.31,34.56,0.14,0.04,-5.54,7.95,2023-11-28 20:12:10
-106.00,-58.00,-96.00,44.00,43.00,11.06,33.94,0.08,0.03,-5.31,8.26,2023-11-28 20:12:11
-106.00,-58.00,-96.00,43.00,-16.00,10.94,33.63,-0.03,-0.00,-5.36,8.11,2023-11-28 20:12:11
-101.00,-58.00,-96.00,42.00,-1.00,11.13,33.31,-0.06,-0.03,-5.31,8.24,2023-11-28 20:12:11
-106.00,-58.00,-96.00,43.00,-2.00,11.31,33.00,-0.06,-0.05,-5.15,8.25,2023-11-28 20:12:11
-106.00,-58.00,-96.00,51.00,-18.00,11.56,33.13,-0.07,-0.03,-5.24,8.22,2023-11-28 20:12:11
-101.00,-58.00,-96.00,59.00,4.00,11.88,33.50,-0.09,-0.03,-5.42,8.11,2023-11-28 20:12:11
-97.00,-58.00,-96.00,60.00,6.00,12.13,33.81,-0.08,0.01,-5.38,7.90,2023-11-28 20:12:11
-98.00,-58.00,-96.00,55.00,5.00,12.13,33.75,0.07,0.01,-5.30,8.14,2023-11-28 20:12:11
-101.00,-58.00,-96.00,48.00,-5.00,11.94,33.63,0.10,-0.01,-5.44,8.04,2023-11-28 20:12:11
-96.00,-58.00,-96.00,42.00,2.00,11.69,33.13,0.09,-0.03,-5.27,8.22,2023-11-28 20:12:11
-98.00,-57.00,-96.00,39.00,-2.00,11.69,32.69,0.02,-0.05,-5.16,8.21,2023-11-28 20:12:11
-101.00,-58.00,-96.00,38.00,-2.00,11.69,32.50,0.02,-0.05,-5.11,8.26,2023-11-28 20:12:11
-106.00,-58.00,-96.00,38.00,-5.00,11.75,32.38,0.04,-0.22,-5.45,8.53,2023-11-28 20:12:11
-106.00,-58.00,-96.00,37.00,-25.00,11.63,32.44,0.11,-0.09,-5.03,8.23,2023-11-28 20:12:11
-106.00,-58.00,-96.00,36.00,14.00,11.38,32.56,0.06,0.01,-5.22,8.19,2023-11-28 20:12:11
-106.00,-58.00,-96.00,35.00,-5.00,11.25,32.44,0.03,0.05,-5.11,8.23,2023-11-28 20:12:11
-106.00,-58.00,-96.00,39.00,-9.00,11.19,32.31,-0.07,0.06,-5.02,8.38,2023-11-28 20:12:11
-106.00,-58.00,-96.00,48.00,0.00,11.50,32.50,-0.15,-0.04,-5.25,8.10,2023-11-28 20:12:11
-98.00,-58.00,-96.00,59.00,2.00,12.13,32.63,-0.21,-0.05,-5.19,8.09,2023-11-28 20:12:12
-106.00,-58.00,-96.00,71.00,-4.00,12.63,33.06,-0.04,-0.10,-5.22,8.34,2023-11-28 20:12:12
-106.00,-58.00,-96.00,76.00,79.00,13.06,33.50,-0.14,-0.05,-5.32,7.90,2023-11-28 20:12:12
-106.00,-58.00,-96.00,70.00,8.00,13.25,33.56,0.04,-0.01,-5.20,7.97,2023-11-28 20:12:12
-106.00,-58.00,-96.00,56.00,-5.00,12.81,33.06,0.27,0.07,-5.30,7.80,2023-11-28 20:12:12
-106.00,-58.00,-96.00,44.00,53.00,11.63,32.06,0.42,0.13,-4.87,8.47,2023-11-28 20:12:12
-106.00,-58.00,-96.00,37.00,-4.00,10.88,31.94,0.11,0.06,-5.09,8.42,2023-11-28 20:12:12
-106.00,-58.00,-96.00,33.00,-15.00,10.75,31.94,0.05,-0.11,-5.21,8.20,2023-11-28 20:12:12
-106.00,-58.00,-96.00,32.00,35.00,10.88,31.81,0.06,-0.04,-4.98,8.30,2023-11-28 20:12:12
-106.00,-58.00,-96.00,33.00,-7.00,10.63,31.69,0.05,0.07,-5.08,8.32,2023-11-28 20:12:12
-106.00,-58.00,-96.00,35.00,-9.00,10.50,31.44,-0.08,0.03,-5.08,8.40,2023-11-28 20:12:12
-106.00,-58.00,-96.00,44.00,17.00,10.81,31.06,-0.18,-0.03,-4.80,8.44,2023-11-28 20:12:12
-106.00,-58.00,-96.00,56.00,-17.00,11.31,31.19,-0.16,-0.11,-5.01,8.46,2023-11-28 20:12:12
-106.00,-57.00,-96.00,65.00,7.00,12.00,31.37,-0.13,-0.08,-4.95,8.21,2023-11-28 20:12:12
-106.00,-58.00,-96.00,72.00,6.00,12.25,31.81,-0.07,-0.02,-4.99,8.24,2023-11-28 20:12:12
-106.00,-57.00,-96.00,67.00,6.00,12.38,32.13,-0.02,0.01,-5.10,8.10,2023-11-28 20:12:12
-106.00,-58.00,-96.00,57.00,-3.00,11.94,31.81,0.19,0.04,-5.04,8.00,2023-11-28 20:12:12
-106.00,-58.00,-96.00,45.00,32.00,11.44,31.00,0.16,0.08,-4.88,8.46,2023-11-28 20:12:12
-98.00,-58.00,-96.00,39.00,-2.00,11.00,30.44,0.07,0.05,-4.86,8.46,2023-11-28 20:12:13
-101.00,-58.00,-96.00,38.00,11.00,10.94,30.31,-0.09,0.01,-4.79,8.48,2023-11-28 20:12:13
-106.00,-58.00,-96.00,38.00,-6.00,11.13,30.44,-0.01,-0.02,-4.94,8.33,2023-11-28 20:12:13
-102.00,-58.00,-96.00,45.00,-18.00,11.13,30.69,-0.01,0.01,-4.78,8.48,2023-11-28 20:12:13
-99.00,-58.00,-96.00,54.00,47.00,11.13,31.12,-0.05,-0.02,-5.00,8.36,2023-11-28 20:12:13
-97.00,-58.00,-96.00,66.00,5.00,11.50,31.62,-0.14,-0.04,-4.96,8.24,2023-11-28 20:12:13
-106.00,-58.00,-96.00,73.00,-17.00,12.06,31.94,-0.27,-0.06,-5.04,8.23,2023-11-28 20:12:13
-106.00,-58.00,-96.00,76.00,18.00,12.69,32.44,-0.11,-0.09,-5.07,8.01,2023-11-28 20:12:13
-106.00,-57.00,-96.00,68.00,2.00,12.94,32.50,0.02,-0.02,-5.12,7.96,2023-11-28 20:12:13
-106.00,-58.00,-96.00,56.00,-22.00,12.63,32.13,0.19,-0.03,-5.10,8.07,2023-11-28 20:12:13
-98.00,-58.00,-96.00,44.00,55.00,12.13,31.19,0.15,0.06,-4.93,8.46,2023-11-28 20:12:13
-98.00,-58.00,-96.00,39.00,-4.00,11.81,30.81,0.08,0.04,-4.90,8.49,2023-11-28 20:12:13
