FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
-2.00,15.00,22.00,35.00,-5.00,18.62,22.87,-0.13,-0.02,-3.65,8.49,2023-11-28 20:14:23
10.00,15.00,21.00,31.00,-8.00,18.75,22.81,0.00,0.04,-3.44,8.62,2023-11-28 20:14:23
10.00,14.00,21.00,32.00,-4.00,18.56,23.00,0.04,0.08,-3.59,8.58,2023-11-28 20:14:23
10.00,16.00,21.00,32.00,-8.00,18.37,23.00,0.07,0.02,-3.54,8.69,2023-11-28 20:14:23
9.00,15.00,21.00,31.00,-6.00,18.25,23.12,-0.04,0.03,-3.56,8.64,2023-11-28 20:14:23
9.00,15.00,21.00,31.00,-11.00,18.37,23.19,-0.04,0.01,-3.60,8.63,2023-11-28 20:14:23
9.00,15.00,21.00,31.00,27.00,18.44,23.19,-0.05,0.01,-3.60,8.67,2023-11-28 20:14:23
10.00,16.00,21.00,31.00,-6.00,18.62,23.19,-0.01,0.01,-3.57,8.65,2023-11-28 20:14:23
9.00,15.00,20.00,30.00,-11.00,18.62,23.25,0.01,0.02,-3.60,8.58,2023-11-28 20:14:23
9.00,16.00,21.00,30.00,-8.00,18.12,23.31,0.28,0.10,-3.58,8.58,2023-11-28 20:14:23
9.00,23.00,20.00,29.00,-25.00,17.00,23.81,0.31,0.08,-3.95,8.66,2023-11-28 20:14:23
13.00,32.00,28.00,40.00,61.00,16.12,24.44,0.41,0.14,-3.77,8.71,2023-11-28 20:14:23
-23.00,96.00,43.00,70.00,6.00,13.88,26.06,0.78,0.15,-4.21,9.27,2023-11-28 20:14:23
33.00,89.00,51.00,98.00,-18.00,12.13,27.94,0.43,0.24,-4.74,8.62,2023-11-28 20:14:23
44.00,100.00,56.00,106.00,78.00,11.31,29.94,0.07,-0.11,-4.55,8.06,2023-11-28 20:14:23
43.00,94.00,54.00,103.00,14.00,11.56,30.62,0.01,-0.05,-4.93,8.19,2023-11-28 20:14:23
41.00,85.00,49.00,92.00,0.00,11.06,30.25,0.22,0.12,-4.63,8.00,2023-11-28 20:14:24
106.00,63.00,44.00,70.00,101.00,10.25,29.06,0.30,0.32,-4.56,8.46,2023-11-28 20:14:24
-46.00,43.00,30.00,42.00,-2.00,7.50,27.87,0.82,0.53,-4.54,8.85,2023-11-28 20:14:24
-15.00,34.00,24.00,32.00,23.00,4.62,28.06,0.76,0.31,-4.56,9.02,2023-11-28 20:14:24
-19.00,32.00,22.00,29.00,-7.00,2.06,29.19,0.95,0.39,-4.89,8.95,2023-11-28 20:14:24
-23.00,42.00,25.00,31.00,-22.00,-1.37,30.87,0.95,0.38,-4.92,8.34,2023-11-28 20:14:24
-33.00,34.00,32.00,40.00,-2.00,-4.50,32.44,1.28,0.32,-5.01,8.25,2023-11-28 20:14:24
39.00,47.00,44.00,58.00,1.00,-9.31,34.75,1.79,0.53,-5.59,7.95,2023-11-28 20:14:24
-16.00,60.00,48.00,70.00,10.00,-14.31,36.81,1.57,0.55,-5.91,8.28,2023-11-28 20:14:24
-30.00,65.00,50.00,76.00,12.00,-17.19,38.50,0.53,0.03,-5.68,7.40,2023-11-28 20:14:24
-7.00,66.00,51.00,81.00,8.00,-17.62,39.38,0.14,0.06,-5.80,7.21,2023-11-28 20:14:24
-48.00,62.00,46.00,70.00,-19.00,-18.19,39.88,-0.04,0.29,-6.40,7.43,2023-11-28 20:14:24
-69.00,54.00,42.00,60.00,31.00,-17.75,39.13,-0.56,0.05,-5.90,7.20,2023-11-28 20:14:24
-73.00,41.00,34.00,46.00,0.00,-16.19,37.50,-0.55,-0.10,-5.79,7.22,2023-11-28 20:14:24
-95.00,32.00,26.00,38.00,-24.00,-14.75,35.50,-0.58,-0.28,-5.47,7.96,2023-11-28 20:14:24
-96.00,29.00,24.00,36.00,33.00,-12.19,34.19,-0.92,-0.53,-5.41,8.21,2023-11-28 20:14:24
-95.00,26.00,24.00,35.00,-6.00,-8.19,32.81,-1.11,-0.66,-5.43,8.50,2023-11-28 20:14:24
-99.00,29.00,29.00,40.00,-26.00,-4.31,31.50,-1.33,-0.70,-4.83,8.29,2023-11-28 20:14:25
-98.00,43.00,40.00,62.00,68.00,0.88,30.37,-1.20,-0.68,-4.88,8.40,2023-11-28 20:14:25
-8.00,60.00,50.00,82.00,12.00,3.75,30.31,-0.54,-0.35,-4.82,8.73,2023-11-28 20:14:25
-93.00,70.00,51.00,87.00,-2.00,5.31,30.69,-0.39,-0.30,-4.95,8.74,2023-11-28 20:14:25
-92.00,67.00,48.00,81.00,6.00,7.19,30.87,-0.53,-0.32,-5.00,8.35,2023-11-28 20:14:25
-96.00,56.00,44.00,70.00,6.00,8.81,30.25,-0.38,-0.22,-4.68,7.97,2023-11-28 20:14:25
-24.00,38.00,34.00,53.00,1.00,10.25,28.75,-0.47,-0.12,-4.72,8.45,2023-11-28 20:14:25
-78.00,23.00,26.00,38.00,3.00,11.25,27.19,-0.22,-0.25,-4.10,8.68,2023-11-28 20:14:25
-93.00,19.00,23.00,35.00,-2.00,12.13,26.12,-0.03,-0.04,-4.05,8.98,2023-11-28 20:14:25
-101.00,18.00,23.00,34.00,-15.00,11.56,26.00,0.30,0.14,-4.17,8.77,2023-11-28 20:14:25
-89.00,29.00,29.00,41.00,0.00,10.50,26.50,0.23,0.11,-4.11,8.79,2023-11-28 20:14:25
-91.00,45.00,40.00,61.00,4.00,10.31,27.00,-0.11,-0.07,-4.46,8.69,2023-11-28 20:14:25
