FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-106.0,-58.0,-96.0,38.0,-24.0,11.75,30.0,0.03,0.01,-4.8,8.39,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,39.0,30.0,11.56,29.94,0.06,0.0,-4.74,8.4,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,38.0,-4.0,11.44,29.81,0.05,-0.0,-4.72,8.4,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,38.0,-22.0,11.31,29.81,0.07,-0.02,-4.84,8.45,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,42.0,40.0,11.25,30.0,0.01,-0.06,-4.78,8.43,2023-11-28 20:12:06,1,3
-102.0,-58.0,-96.0,50.0,-1.0,11.38,30.12,-0.03,-0.08,-4.85,8.44,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,64.0,-5.0,11.75,30.25,-0.13,-0.14,-4.77,8.43,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,78.0,6.0,12.25,30.69,-0.09,-0.15,-4.72,8.32,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,95.0,16.0,12.63,31.5,-0.12,-0.1,-5.05,8.44,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,98.0,10.0,13.13,32.94,-0.11,-0.03,-5.28,7.97,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,92.0,35.0,13.19,33.5,0.08,0.09,-5.24,7.9,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,80.0,10.0,12.75,32.69,0.11,0.23,-5.18,7.73,2023-11-28 20:12:06,1,3
-101.0,-58.0,-96.0,53.0,2.0,11.88,30.87,0.35,0.28,-5.06,8.48,2023-11-28 20:12:06,1,3
-106.0,-58.0,-96.0,39.0,-5.0,10.25,29.37,0.37,0.19,-4.6,8.74,2023-11-28 20:12:07,1,3
